# Interceptor: Micromissile launched from Hydra-70 at 11.3 degrees above horizon
# Target: Drone at (6000, 0, 150) moving at (-10, 0, 0)
# Controller: MPC controller until 1 km to target, then proportional navigation
# MPC controller: distance cost factor = 4, speed cost factor = 1

Time since launch [s],Distance to target [m],Interceptor speed [m/s]
4.57,1792.64,738.354
4.58,1785.32,736.568
4.59,1778.03,734.456
4.6,1770.75,732.699
4.61,1763.49,730.931
4.62,1756.25,729.168
4.63,1749.03,727.411
4.64,1741.82,725.352
4.65,1734.64,723.615
4.66,1727.47,721.578
4.67,1720.32,719.863
4.68,1713.18,717.846
4.69,1706.07,716.151
4.7,1698.97,714.461
4.71,1691.89,712.776
4.72,1684.83,710.798
4.73,1677.78,709.134
4.74,1670.75,707.474
4.75,1663.74,705.526
4.76,1656.75,703.884
4.77,1649.77,702.244
4.78,1642.81,700.325
4.79,1635.87,698.709
4.8,1628.94,697.098
4.81,1622.04,695.49
4.82,1615.14,693.607
4.83,1608.27,691.735
4.84,1601.41,690.163
4.85,1594.56,688.589
4.86,1587.74,686.744
4.87,1580.93,685.19
4.88,1574.13,683.642
4.89,1567.36,681.823
4.9,1560.59,680.292
4.91,1553.85,678.491
4.92,1547.12,676.977
4.93,1540.4,675.466
4.94,1533.71,673.958
4.95,1527.02,672.19
4.96,1520.36,670.432
4.97,1513.7,668.97
4.98,1507.07,667.492
4.99,1500.45,665.758
5,1493.84,664.298
5.01,1487.25,662.838
5.02,1480.68,661.128
5.03,1474.12,659.686
5.04,1467.58,657.992
5.05,1461.05,656.568
5.06,1454.53,654.89
5.07,1448.03,653.496
5.08,1441.55,652.086
5.09,1435.08,650.431
5.1,1428.62,649.04
5.11,1422.18,647.4
5.12,1415.76,646.021
5.13,1409.35,644.644
5.14,1402.95,643.264
5.15,1396.57,641.895
5.16,1390.2,640.291
5.17,1383.85,638.695
5.18,1377.51,637.351
5.19,1371.18,635.769
5.2,1364.87,634.382
5.21,1358.57,633.054
5.22,1352.29,631.494
5.23,1346.02,630.178
5.24,1339.76,628.632
5.25,1333.52,627.33
5.26,1327.3,626.032
5.27,1321.08,624.506
