# Interceptor: Micromissile launched from Hydra-70 at 11.3 degrees above horizon
# Target: Drone at (6000, 0, 150) moving at (-10, 0, 0)
# Controller: MPC controller until 1 km to target, then proportional navigation

Time since launch [s],Distance to target [m],Interceptor speed [m/s]
4.29,2011.42,808.87
4.3,2003.68,806.736
4.31,1995.97,804.614
4.32,1988.28,802.502
4.33,1980.62,800.402
4.34,1972.97,798.313
4.35,1965.36,796.236
4.36,1957.76,794.169
4.37,1950.19,792.113
4.38,1942.64,790.067
4.39,1935.11,788.033
4.4,1927.61,786.009
4.41,1920.13,783.995
4.42,1912.67,781.992
4.43,1905.23,780
4.44,1897.82,778.017
4.45,1890.43,776.045
4.46,1883.06,774.083
4.47,1875.71,772.131
4.48,1868.39,770.189
4.49,1861.08,768.257
4.5,1853.8,766.334
4.51,1846.55,764.422
4.52,1839.31,762.519
4.53,1832.1,760.625
4.54,1824.9,758.741
4.55,1817.73,756.867
4.56,1810.58,755.001
4.57,1803.45,753.146
4.58,1796.35,751.299
4.59,1789.26,749.461
4.6,1782.2,747.633
4.61,1775.16,745.814
4.62,1768.13,744.003
4.63,1761.13,742.202
4.64,1754.16,740.409
4.65,1747.2,738.625
4.66,1740.26,736.85
4.67,1733.34,735.083
4.68,1726.45,733.325
4.69,1719.57,731.575
4.7,1712.72,729.834
4.71,1705.89,728.102
4.72,1699.07,726.377
4.73,1692.28,724.661
4.74,1685.51,722.953
4.75,1678.76,721.253
4.76,1672.03,719.561
4.77,1665.32,717.877
4.78,1658.63,716.202
4.79,1651.96,714.534
4.8,1645.31,712.874
4.81,1638.68,711.221
4.82,1632.07,709.577
4.83,1625.48,707.94
4.84,1618.91,706.311
4.85,1612.36,704.689
4.86,1605.83,703.075
4.87,1599.32,701.468
4.88,1592.83,699.869
4.89,1586.36,698.277
4.9,1579.91,696.693
4.91,1573.48,695.115
4.92,1567.07,693.545
4.93,1560.68,691.982
4.94,1554.31,690.427
4.95,1547.95,688.878
4.96,1541.62,687.336
4.97,1535.31,685.801
4.98,1529.02,684.274
4.99,1522.74,682.753
5,1516.49,681.238
5.01,1510.25,679.731
5.02,1504.04,678.23
5.03,1497.84,676.737
5.04,1491.67,675.249
5.05,1485.51,673.769
5.06,1479.37,672.294
5.07,1473.25,670.827
5.08,1467.15,669.366
5.09,1461.07,667.911
5.1,1455.01,666.463
5.11,1448.97,665.021
5.12,1442.95,663.585
5.13,1436.94,662.155
5.14,1430.96,660.732
5.15,1424.99,659.315
5.16,1419.05,657.904
5.17,1413.12,656.499
5.18,1407.21,655.101
5.19,1401.33,653.708
5.2,1395.46,652.321
5.21,1389.6,650.94
5.22,1383.77,649.565
5.23,1377.96,648.196
5.24,1372.17,646.833
5.25,1366.39,645.475
5.26,1360.64,644.124
5.27,1354.9,642.778
5.28,1349.18,641.437
5.29,1343.48,640.102
5.3,1337.8,638.773
5.31,1332.14,637.45
5.32,1326.5,636.132
5.33,1320.88,634.819
5.34,1315.28,633.512
5.35,1309.69,632.21
5.36,1304.13,630.914
5.37,1298.58,629.623
5.38,1293.05,628.338
5.39,1287.54,627.057
5.4,1282.05,625.782
5.41,1276.58,624.513
5.42,1271.13,623.248
5.43,1265.7,621.989
5.44,1260.29,620.734
5.45,1254.89,619.485
5.46,1249.52,618.241
5.47,1244.16,617.002
5.48,1238.83,615.768
5.49,1233.51,614.539
5.5,1228.21,613.315
5.51,1222.93,612.095
5.52,1217.67,610.881
5.53,1212.43,609.671
5.54,1207.21,608.467
5.55,1202.01,607.267
5.56,1196.82,606.072
5.57,1191.66,604.881
5.58,1186.52,603.696
5.59,1181.39,602.515
5.6,1176.29,601.338
5.61,1171.2,600.167
5.62,1166.14,599
5.63,1161.09,597.837
5.64,1156.06,596.679
5.65,1151.05,595.526
5.66,1146.07,594.377
5.67,1141.1,593.232
5.68,1136.15,592.092
5.69,1131.22,590.956
5.7,1126.31,589.825
5.71,1121.42,588.698
5.72,1116.55,587.576
5.73,1111.7,586.457
5.74,1106.87,585.343
5.75,1102.07,584.234
5.76,1097.28,583.128
5.77,1092.51,582.027
5.78,1087.76,580.93
5.79,1083.03,579.837
5.8,1078.32,578.748
5.81,1073.63,577.663
5.82,1068.97,576.583
5.83,1064.32,575.506
5.84,1059.69,574.434
5.85,1055.09,573.365
5.86,1050.5,572.301
5.87,1045.93,571.24
5.88,1041.39,570.184
5.89,1036.87,569.131
5.9,1032.36,568.083
5.91,1027.88,567.038
5.92,1023.42,565.997
5.93,1018.98,564.96
5.94,1014.56,563.926
5.95,1010.17,562.897
5.96,1005.79,561.871
5.97,1001.44,560.849
5.98,997.103,559.831
5.99,992.779,557.854
6,988.451,555.888
6.01,984.121,553.934
6.02,979.787,551.992
6.03,975.45,550.062
6.04,971.111,548.143
6.05,966.768,546.236
6.06,962.423,544.341
6.07,958.075,542.458
6.08,953.725,540.586
6.09,949.372,538.726
6.1,945.017,536.877
6.11,940.66,535.04
6.12,936.301,533.215
6.13,931.94,531.401
6.14,927.577,529.599
6.15,923.213,527.808
6.16,918.847,526.029
6.17,914.48,524.261
6.18,910.111,522.505
6.19,905.741,520.76
6.2,901.37,519.026
6.21,896.999,517.304
6.22,892.626,515.593
6.23,888.253,513.894
6.24,883.88,512.206
6.25,879.506,510.529
6.26,875.131,508.863
6.27,870.757,507.209
6.28,866.382,505.565
6.29,862.008,503.933
6.3,857.634,502.312
6.31,853.26,500.702
6.32,848.887,499.104
6.33,844.515,497.516
6.34,840.143,495.939
6.35,835.772,494.373
6.36,831.402,492.818
6.37,827.033,491.275
6.38,822.665,489.742
6.39,818.299,488.219
6.4,813.934,486.708
6.41,809.571,485.207
6.42,805.21,483.718
6.43,800.85,482.239
6.44,796.493,480.77
6.45,792.137,479.312
6.46,787.784,477.865
6.47,783.433,476.429
6.48,779.084,475.002
6.49,774.738,473.587
6.5,770.395,472.182
6.51,766.054,470.787
6.52,761.716,469.402
6.53,757.381,468.028
6.54,753.049,466.664
6.55,748.72,465.311
6.56,744.395,463.967
6.57,740.073,462.634
6.58,735.755,461.31
6.59,731.439,459.997
6.6,727.128,458.694
6.61,722.82,457.401
6.62,718.517,456.117
6.63,714.217,454.843
6.64,709.921,453.58
6.65,705.629,452.326
6.66,701.341,451.081
6.67,697.058,449.846
6.68,692.779,448.621
6.69,688.504,447.406
6.7,684.234,446.199
6.71,679.969,445.003
6.72,675.708,443.815
6.73,671.452,442.637
6.74,667.2,441.468
6.75,662.953,440.309
6.76,658.712,439.158
6.77,654.475,438.017
6.78,650.243,436.885
6.79,646.017,435.762
6.8,641.795,434.647
6.81,637.579,433.542
6.82,633.368,432.445
6.83,629.162,431.357
6.84,624.962,430.278
6.85,620.767,429.207
6.86,616.578,428.145
6.87,612.394,427.092
6.88,608.215,426.047
6.89,604.043,425.01
6.9,599.875,423.982
6.91,595.714,422.962
6.92,591.558,421.95
6.93,587.408,420.947
6.94,583.264,419.951
6.95,579.126,418.964
6.96,574.993,417.985
6.97,570.866,417.013
6.98,566.746,416.05
6.99,562.631,415.094
7,558.522,414.146
7.01,554.419,413.206
7.02,550.322,412.273
7.03,546.231,411.348
7.04,542.146,410.431
7.05,538.068,409.521
7.06,533.995,408.618
7.07,529.928,407.723
7.08,525.868,406.835
7.09,521.813,405.954
7.1,517.765,405.081
7.11,513.723,404.214
7.12,509.687,403.355
7.13,505.657,402.503
7.14,501.633,401.658
7.15,497.615,400.819
7.16,493.604,399.988
7.17,489.598,399.163
7.18,485.599,398.345
7.19,481.606,397.534
7.2,477.619,396.729
7.21,473.639,395.931
7.22,469.664,395.139
7.23,465.696,394.354
7.24,461.734,393.576
7.25,457.777,392.803
7.26,453.827,392.037
7.27,449.884,391.277
7.28,445.946,390.524
7.29,442.014,389.776
7.3,438.089,389.035
7.31,434.169,388.3
7.32,430.256,387.57
7.33,426.349,386.847
7.34,422.447,386.13
7.35,418.552,385.418
7.36,414.663,384.712
7.37,410.78,384.012
7.38,406.903,383.318
7.39,403.031,382.629
7.4,399.166,381.946
7.41,395.307,381.269
7.42,391.453,380.597
7.43,387.606,379.93
7.44,383.764,379.269
7.45,379.929,378.613
7.46,376.098,377.963
7.47,372.274,377.317
7.48,368.456,376.677
7.49,364.643,376.043
7.5,360.837,375.413
7.51,357.036,374.788
7.52,353.24,374.169
7.53,349.45,373.554
7.54,345.666,372.945
7.55,341.888,372.34
7.56,338.115,371.741
7.57,334.347,371.146
7.58,330.586,370.556
7.59,326.829,369.971
7.6,323.078,369.39
7.61,319.333,368.814
7.62,315.593,368.243
7.63,311.858,367.676
7.64,308.129,367.114
7.65,304.406,366.557
7.66,300.687,366.004
7.67,296.974,365.455
7.68,293.266,364.911
7.69,289.563,364.371
7.7,285.866,363.836
7.71,282.173,363.305
7.72,278.486,362.778
7.73,274.804,362.255
7.74,271.127,361.737
7.75,267.456,361.223
7.76,263.789,360.713
7.77,260.127,360.207
7.78,256.47,359.705
7.79,252.818,359.207
7.8,249.171,358.713
7.81,245.529,358.223
7.82,241.891,357.737
7.83,238.259,357.255
7.84,234.631,356.777
7.85,231.008,356.302
7.86,227.389,355.832
7.87,223.776,355.365
7.88,220.167,354.902
7.89,216.562,354.442
7.9,212.962,353.987
7.91,209.367,353.535
7.92,205.776,353.086
7.93,202.19,352.642
7.94,198.608,352.2
7.95,195.031,351.763
7.96,191.458,351.329
7.97,187.889,350.898
7.98,184.325,350.471
7.99,180.765,350.047
8,177.209,349.627
8.01,173.658,349.21
8.02,170.11,348.797
8.03,166.567,348.386
8.04,163.028,347.98
8.05,159.493,347.576
8.06,155.962,347.176
8.07,152.436,346.779
8.08,148.913,346.385
8.09,145.394,345.994
8.1,141.879,345.607
8.11,138.368,345.222
8.12,134.861,344.841
8.13,131.358,344.463
8.14,127.858,344.088
8.15,124.363,343.716
8.16,120.871,343.347
8.17,117.383,342.981
8.18,113.898,342.619
8.19,110.418,342.259
8.2,106.94,341.902
8.21,103.467,341.548
8.22,99.9966,341.197
8.23,96.5302,340.849
8.24,93.0673,340.503
8.25,89.6078,340.161
8.26,86.1518,339.821
8.27,82.6993,339.485
8.28,79.2501,339.151
8.29,75.8041,338.82
8.3,72.3615,338.491
8.31,68.9222,338.166
8.32,65.4863,337.843
8.33,62.0535,337.523
8.34,58.6239,337.206
8.35,55.1975,336.891
8.36,51.7743,336.579
8.37,48.3543,336.269
8.38,44.9374,335.963
8.39,41.5234,335.659
8.4,38.1125,335.357
8.41,34.7047,335.059
8.42,31.2998,334.762
8.43,27.8979,334.467
8.44,24.499,334.171
8.45,21.1031,333.872
8.46,17.7101,333.572
8.47,14.32,333.271
8.48,10.9331,332.968
8.49,7.54902,332.664
8.5,4.1679,332.36
8.51,0.789944,332.063
