# Interceptor: Micromissile launched from Hydra-70 at 11.3 degrees above horizon
# Target: Drone at (6000, 0, 150) moving at (-10, 0, 0)
# Controller: MPC controller until 1 km to target, then proportional navigation
# MPC controller: distance cost factor = 1, speed cost factor = 1

Time since launch [s],Distance to target [m],Interceptor speed [m/s]
2.32,4232.74,1709.8
2.33,4215.8,1700.04
2.34,4198.96,1690.38
2.35,4182.21,1680.84
2.36,4165.56,1671.41
2.37,4149,1662.09
2.38,4132.53,1652.87
2.39,4116.16,1643.75
2.4,4099.88,1634.74
2.41,4083.68,1625.83
2.42,4067.58,1617.01
2.43,4051.57,1608.3
2.44,4035.64,1599.67
2.45,4019.8,1591.15
2.46,4004.04,1582.71
2.47,3988.37,1574.37
2.48,3972.78,1566.11
2.49,3957.28,1557.94
2.5,3941.85,1549.86
2.51,3926.51,1541.86
2.52,3911.25,1533.95
2.53,3896.07,1526.12
2.54,3880.96,1518.37
2.55,3865.94,1510.7
2.56,3850.99,1503.11
2.57,3836.11,1495.6
2.58,3821.31,1488.16
2.59,3806.59,1480.8
2.6,3791.94,1473.51
2.61,3777.36,1466.3
2.62,3762.86,1459.15
2.63,3748.43,1452.08
2.64,3734.07,1445.08
2.65,3719.78,1438.14
2.66,3705.55,1431.27
2.67,3691.4,1424.47
2.68,3677.32,1417.74
2.69,3663.3,1411.07
2.7,3649.35,1404.46
2.71,3635.47,1397.92
2.72,3621.65,1391.43
2.73,3607.9,1385.01
2.74,3594.21,1378.65
2.75,3580.59,1372.35
2.76,3567.03,1366.1
2.77,3553.53,1359.92
2.78,3540.1,1353.79
2.79,3526.72,1347.72
2.8,3513.41,1341.7
2.81,3500.16,1335.74
2.82,3486.97,1329.83
2.83,3473.84,1323.97
2.84,3460.77,1318.17
2.85,3447.75,1312.41
2.86,3434.8,1306.71
2.87,3421.9,1301.06
2.88,3409.06,1295.46
2.89,3396.27,1289.91
2.9,3383.54,1284.4
2.91,3370.87,1278.95
2.92,3358.25,1273.54
2.93,3345.69,1268.17
2.94,3333.18,1262.86
2.95,3320.73,1257.58
2.96,3308.32,1252.36
2.97,3295.98,1247.17
2.98,3283.68,1242.03
2.99,3271.43,1236.94
3,3259.24,1231.88
3.01,3247.1,1226.87
3.02,3235.01,1221.9
3.03,3222.97,1216.97
3.04,3210.98,1212.08
3.05,3199.04,1207.23
3.06,3187.15,1202.42
3.07,3175.3,1197.64
3.08,3163.51,1192.91
3.09,3151.76,1188.21
3.1,3140.06,1183.56
3.11,3128.41,1178.94
3.12,3116.81,1174.35
3.13,3105.25,1169.8
3.14,3093.74,1165.29
3.15,3082.27,1160.81
3.16,3070.85,1156.37
3.17,3059.48,1151.96
3.18,3048.15,1147.59
3.19,3036.86,1143.25
3.2,3025.62,1138.94
3.21,3014.43,1134.67
3.22,3003.27,1130.43
3.23,2992.16,1126.22
3.24,2981.09,1122.04
3.25,2970.07,1117.89
3.26,2959.09,1113.78
3.27,2948.15,1109.7
3.28,2937.25,1105.64
3.29,2926.39,1101.62
3.3,2915.58,1097.62
3.31,2904.8,1093.66
3.32,2894.07,1089.72
3.33,2883.37,1085.82
3.34,2872.72,1081.94
3.35,2862.1,1078.07
3.36,2851.53,1074.25
3.37,2840.99,1070.44
3.38,2830.5,1066.65
3.39,2820.04,1062.89
3.4,2809.62,1059.16
3.41,2799.24,1055.45
3.42,2788.89,1051.1
3.43,2778.59,1047.45
3.44,2768.32,1043.82
3.45,2758.08,1039.58
3.46,2747.88,1036.01
3.47,2737.72,1032.46
3.48,2727.6,1028.31
3.49,2717.51,1024.82
3.5,2707.45,1021.35
3.51,2697.43,1017.91
3.52,2687.45,1013.87
3.53,2677.5,1010.48
3.54,2667.58,1006.84
3.55,2657.7,1003.49
3.56,2647.85,999.567
3.57,2638.04,996.272
3.58,2628.26,992.999
3.59,2618.51,989.741
3.6,2608.8,985.926
3.61,2599.12,982.72
3.62,2589.47,979.531
3.63,2579.85,976.179
3.64,2570.27,972.468
3.65,2560.72,969.369
3.66,2551.2,966.271
3.67,2541.71,963.19
3.68,2532.25,960.126
3.69,2522.82,957.084
3.7,2513.43,953.518
3.71,2504.06,950.525
3.72,2494.73,947.008
3.73,2485.43,944.051
3.74,2476.15,940.583
3.75,2466.91,937.686
3.76,2457.69,934.789
3.77,2448.51,931.909
3.78,2439.35,929.045
3.79,2430.23,925.686
3.8,2421.13,922.863
3.81,2412.06,919.55
3.82,2403.02,916.765
3.83,2394.01,913.996
3.84,2385.02,910.746
3.85,2376.07,908.015
3.86,2367.14,905.298
3.87,2358.24,902.598
3.88,2349.37,899.913
3.89,2340.52,896.763
3.9,2331.7,893.85
3.91,2322.91,891.219
3.92,2314.15,888.601
3.93,2305.41,885.53
3.94,2296.7,882.949
3.95,2288.02,880.377
3.96,2279.36,877.363
3.97,2270.72,874.828
3.98,2262.12,872.305
3.99,2253.54,869.346
4,2244.98,866.859
4.01,2236.45,864.386
4.02,2227.95,861.48
4.03,2219.47,859.038
4.04,2211.02,856.609
4.05,2202.59,853.798
4.06,2194.18,851.401
4.07,2185.8,849.014
4.08,2177.45,846.211
4.09,2169.12,843.856
4.1,2160.81,841.442
4.11,2152.53,839.11
4.12,2144.27,836.373
4.13,2136.03,834.072
4.14,2127.82,831.782
4.15,2119.63,829.504
4.16,2111.47,826.829
4.17,2103.33,824.579
4.18,2095.21,821.936
4.19,2087.11,819.714
4.2,2079.04,817.502
4.21,2070.99,815.303
4.22,2062.96,812.719
4.23,2054.96,810.544
4.24,2046.98,807.99
4.25,2039.02,805.862
4.26,2031.08,803.464
4.27,2023.16,801.34
4.28,2015.27,799.227
4.29,2007.4,796.744
4.3,1999.55,794.656
4.31,1991.72,792.577
4.32,1983.91,790.511
4.33,1976.12,788.453
4.34,1968.36,786.037
4.35,1960.61,784.002
4.36,1952.89,781.613
4.37,1945.19,779.603
4.38,1937.51,777.601
4.39,1929.84,775.251
4.4,1922.2,773.271
4.41,1914.58,770.947
4.42,1906.98,768.991
4.43,1899.4,766.693
4.44,1891.84,764.761
4.45,1884.3,762.836
4.46,1876.78,760.574
4.47,1869.28,758.673
4.48,1861.8,756.774
4.49,1854.34,754.548
4.5,1846.9,752.676
4.51,1839.48,750.812
4.52,1832.08,748.621
4.53,1824.69,746.779
4.54,1817.33,744.941
4.55,1809.98,743.113
4.56,1802.66,741.297
4.57,1795.35,739.161
4.58,1788.06,737.038
4.59,1780.79,735.25
4.6,1773.54,733.467
4.61,1766.31,731.376
4.62,1759.09,729.615
4.63,1751.9,727.547
4.64,1744.72,725.808
4.65,1737.56,723.76
4.66,1730.41,722.039
4.67,1723.29,720.326
4.68,1716.18,718.31
4.69,1709.09,716.613
4.7,1702.02,714.921
4.71,1694.97,712.935
4.72,1687.93,711.259
4.73,1680.91,709.293
4.74,1673.91,707.638
4.75,1666.93,705.991
4.76,1659.96,704.054
4.77,1653.01,702.423
4.78,1646.08,700.506
4.79,1639.16,698.892
4.8,1632.26,697.284
4.81,1625.38,695.394
4.82,1618.51,693.803
