# 0 mm feed length
# Feed offset: 1.1258 mm

Phi[deg],Theta[deg],dB(GainTotal)
24,-176,-10.4814
26,-176,-10.4974
28,-176,-10.5149
30,-176,-10.5338
32,-176,-10.5542
34,-176,-10.5758
36,-176,-10.5986
38,-176,-10.6225
40,-176,-10.6473
42,-176,-10.6729
44,-176,-10.6992
46,-176,-10.7259
48,-176,-10.7531
50,-176,-10.7804
52,-176,-10.8079
54,-176,-10.8352
56,-176,-10.8622
58,-176,-10.8888
60,-176,-10.9147
62,-176,-10.9399
64,-176,-10.9641
66,-176,-10.9872
68,-176,-11.009
70,-176,-11.0294
72,-176,-11.0481
74,-176,-11.0652
76,-176,-11.0805
78,-176,-11.0937
80,-176,-11.105
82,-176,-11.114
84,-176,-11.1209
86,-176,-11.1254
88,-176,-11.1276
90,-176,-11.1275
-90,-174,-12.6202
-88,-174,-12.6243
-86,-174,-12.6223
-84,-174,-12.6143
-82,-174,-12.6003
-80,-174,-12.5806
-78,-174,-12.5551
-76,-174,-12.5242
-74,-174,-12.488
-72,-174,-12.4467
-70,-174,-12.4008
-68,-174,-12.3504
-66,-174,-12.296
-64,-174,-12.2378
-62,-174,-12.1762
-60,-174,-12.1117
-58,-174,-12.0445
-56,-174,-11.975
-54,-174,-11.9038
-52,-174,-11.831
-50,-174,-11.7571
-48,-174,-11.6825
-46,-174,-11.6074
-44,-174,-11.5323
-42,-174,-11.4575
-40,-174,-11.3833
-38,-174,-11.31
-36,-174,-11.2379
-34,-174,-11.1673
-32,-174,-11.0984
-30,-174,-11.0314
-28,-174,-10.9666
-26,-174,-10.9043
-24,-174,-10.8446
-22,-174,-10.7876
-20,-174,-10.7337
-18,-174,-10.6828
-16,-174,-10.6353
-14,-174,-10.5911
-12,-174,-10.5505
-10,-174,-10.5135
-8,-174,-10.4803
-6,-174,-10.4508
-4,-174,-10.4253
-2,-174,-10.4038
0,-174,-10.3862
2,-174,-10.3727
4,-174,-10.3633
6,-174,-10.358
8,-174,-10.3569
10,-174,-10.3598
12,-174,-10.3669
14,-174,-10.3781
16,-174,-10.3934
18,-174,-10.4127
20,-174,-10.436
22,-174,-10.4631
24,-174,-10.4942
26,-174,-10.5289
28,-174,-10.5673
30,-174,-10.6092
32,-174,-10.6544
34,-174,-10.7028
36,-174,-10.7543
38,-174,-10.8086
40,-174,-10.8655
42,-174,-10.9247
44,-174,-10.9861
46,-174,-11.0493
48,-174,-11.1139
50,-174,-11.1798
52,-174,-11.2464
54,-174,-11.3135
56,-174,-11.3806
58,-174,-11.4472
60,-174,-11.5131
62,-174,-11.5776
64,-174,-11.6403
66,-174,-11.7008
68,-174,-11.7585
70,-174,-11.8129
72,-174,-11.8637
74,-174,-11.9103
76,-174,-11.9523
78,-174,-11.9892
80,-174,-12.0208
82,-174,-12.0467
84,-174,-12.0666
