# Micromissile
# Constant L/D = 5
# Initial speed = 1000 m/s
# Constant normal acceleration = 100 m/s^2
# With air drag, no gravity

Time [s],Azimuth [rad],Speed [m/s]
2.03,0.280038,564.006
2.04,0.281813,562.722
2.05,0.283593,561.442
2.06,0.285376,560.167
2.07,0.287163,558.897
2.08,0.288955,557.632
2.09,0.29075,556.372
2.1,0.29255,555.117
2.11,0.294354,553.866
2.12,0.296161,552.62
2.13,0.297973,551.379
2.14,0.299789,550.142
2.15,0.301609,548.91
2.16,0.303433,547.683
2.17,0.305261,546.46
2.18,0.307093,545.242
2.19,0.30893,544.029
2.2,0.31077,542.819
2.21,0.312615,541.615
2.22,0.314463,540.415
2.23,0.316316,539.219
2.24,0.318173,538.027
2.25,0.320034,536.84
2.26,0.321899,535.658
2.27,0.323768,534.479
2.28,0.325641,533.305
2.29,0.327518,532.136
2.3,0.3294,530.97
2.31,0.331285,529.809
2.32,0.333175,528.652
2.33,0.335069,527.499
2.34,0.336967,526.35
2.35,0.338869,525.205
2.36,0.340776,524.065
2.37,0.342686,522.928
2.38,0.344601,521.796
2.39,0.346519,520.667
2.4,0.348442,519.543
2.41,0.350369,518.423
2.42,0.3523,517.306
2.43,0.354236,516.194
2.44,0.356175,515.085
2.45,0.358119,513.981
2.46,0.360067,512.88
2.47,0.362019,511.783
2.48,0.363975,510.69
2.49,0.365936,509.6
2.5,0.3679,508.515
2.51,0.369869,507.433
2.52,0.371842,506.355
2.53,0.373819,505.281
2.54,0.375801,504.21
2.55,0.377786,503.143
2.56,0.379776,502.08
2.57,0.38177,501.021
2.58,0.383769,499.965
2.59,0.385771,498.912
2.6,0.387778,497.864
2.61,0.389789,496.818
2.62,0.391804,495.777
2.63,0.393823,494.739
2.64,0.395847,493.704
2.65,0.397875,492.673
2.66,0.399907,491.645
2.67,0.401943,490.621
2.68,0.403984,489.6
2.69,0.406028,488.583
2.7,0.408077,487.569
2.71,0.410131,486.558
2.72,0.412188,485.551
2.73,0.41425,484.547
2.74,0.416316,483.546
2.75,0.418387,482.549
2.76,0.420462,481.555
2.77,0.42254,480.564
2.78,0.424624,479.577
2.79,0.426711,478.592
2.8,0.428803,477.611
2.81,0.430899,476.633
2.82,0.433,475.659
2.83,0.435104,474.687
2.84,0.437213,473.719
2.85,0.439327,472.754
2.86,0.441444,471.792
2.87,0.443566,470.832
2.88,0.445693,469.877
2.89,0.447823,468.924
2.9,0.449958,467.974
2.91,0.452097,467.027
2.92,0.454241,466.083
2.93,0.456389,465.142
2.94,0.458541,464.205
2.95,0.460698,463.27
2.96,0.462859,462.338
2.97,0.465024,461.409
2.98,0.467194,460.483
2.99,0.469368,459.56
3,0.471546,458.64
3.01,0.473729,457.723
3.02,0.475916,456.808
3.03,0.478107,455.896
3.04,0.480303,454.988
3.05,0.482504,454.082
3.06,0.484708,453.179
3.07,0.486917,452.278
3.08,0.489131,451.381
3.09,0.491349,450.486
3.1,0.493571,449.594
3.11,0.495798,448.705
3.12,0.498028,447.818
3.13,0.500264,446.934
3.14,0.502504,446.053
3.15,0.504748,445.174
3.16,0.506997,444.299
3.17,0.50925,443.425
3.18,0.511508,442.555
3.19,0.51377,441.687
3.2,0.516036,440.822
3.21,0.518307,439.959
3.22,0.520582,439.099
3.23,0.522862,438.241
3.24,0.525146,437.387
3.25,0.527435,436.534
3.26,0.529728,435.684
3.27,0.532026,434.837
3.28,0.534328,433.992
3.29,0.536635,433.15
3.3,0.538946,432.31
3.31,0.541262,431.473
3.32,0.543582,430.638
3.33,0.545906,429.805
3.34,0.548235,428.975
3.35,0.550569,428.148
3.36,0.552907,427.323
3.37,0.55525,426.5
3.38,0.557597,425.68
3.39,0.559949,424.862
3.4,0.562305,424.046
3.41,0.564666,423.233
3.42,0.567031,422.422
3.43,0.5694,421.614
3.44,0.571775,420.808
3.45,0.574154,420.004
3.46,0.576537,419.202
3.47,0.578925,418.403
3.48,0.581318,417.606
3.49,0.583715,416.811
3.5,0.586117,416.019
3.51,0.588523,415.228
3.52,0.590934,414.44
3.53,0.593349,413.655
3.54,0.595769,412.871
3.55,0.598194,412.09
3.56,0.600623,411.311
3.57,0.603057,410.534
3.58,0.605495,409.759
3.59,0.607938,408.986
3.6,0.610386,408.216
3.61,0.612838,407.448
3.62,0.615295,406.682
3.63,0.617756,405.918
3.64,0.620222,405.156
3.65,0.622693,404.396
3.66,0.625168,403.638
3.67,0.627648,402.883
3.68,0.630133,402.129
3.69,0.632622,401.378
3.7,0.635116,400.628
3.71,0.637615,399.881
3.72,0.640118,399.136
3.73,0.642626,398.392
3.74,0.645139,397.651
3.75,0.647656,396.912
3.76,0.650178,396.174
3.77,0.652705,395.439
3.78,0.655236,394.706
3.79,0.657773,393.975
3.8,0.660313,393.245
3.81,0.662859,392.518
3.82,0.665409,391.793
3.83,0.667964,391.069
3.84,0.670524,390.348
3.85,0.673088,389.628
3.86,0.675657,388.91
3.87,0.678231,388.194
3.88,0.68081,387.481
3.89,0.683393,386.768
3.9,0.685981,386.058
3.91,0.688574,385.35
3.92,0.691172,384.644
3.93,0.693774,383.939
3.94,0.696382,383.236
3.95,0.698994,382.536
3.96,0.70161,381.836
3.97,0.704232,381.139
3.98,0.706858,380.444
3.99,0.709489,379.75
4,0.712125,379.059
4.01,0.714766,378.369
4.02,0.717412,377.68
4.03,0.720062,376.994
4.04,0.722717,376.309
4.05,0.725377,375.626
4.06,0.728042,374.945
4.07,0.730712,374.266
4.08,0.733387,373.588
4.09,0.736066,372.912
4.1,0.73875,372.238
4.11,0.741439,371.565
4.12,0.744133,370.894
4.13,0.746832,370.225
4.14,0.749536,369.558
4.15,0.752245,368.892
4.16,0.754958,368.228
4.17,0.757676,367.566
4.18,0.7604,366.905
4.19,0.763128,366.246
4.2,0.765861,365.588
4.21,0.768599,364.933
4.22,0.771342,364.278
4.23,0.77409,363.626
4.24,0.776843,362.975
4.25,0.7796,362.326
4.26,0.782363,361.678
4.27,0.785131,361.032
4.28,0.787903,360.387
4.29,0.790681,359.745
4.3,0.793463,359.103
4.31,0.796251,358.463
4.32,0.799043,357.825
4.33,0.801841,357.189
4.34,0.804643,356.554
4.35,0.80745,355.92
4.36,0.810263,355.288
4.37,0.81308,354.658
4.38,0.815902,354.029
4.39,0.81873,353.401
4.4,0.821562,352.775
4.41,0.8244,352.151
4.42,0.827242,351.528
4.43,0.83009,350.907
4.44,0.832942,350.287
4.45,0.8358,349.668
4.46,0.838662,349.051
4.47,0.84153,348.436
4.48,0.844403,347.822
4.49,0.847281,347.209
4.5,0.850164,346.598
4.51,0.853052,345.988
4.52,0.855945,345.38
4.53,0.858843,344.773
4.54,0.861746,344.168
4.55,0.864654,343.564
4.56,0.867568,342.962
4.57,0.870486,342.36
4.58,0.87341,341.761
4.59,0.876339,341.162
4.6,0.879273,340.566
4.61,0.882212,339.97
4.62,0.885156,339.376
4.63,0.888106,338.783
4.64,0.89106,338.192
4.65,0.89402,337.602
4.66,0.896985,337.013
4.67,0.899955,336.426
4.68,0.90293,335.84
4.69,0.905911,335.255
4.7,0.908896,334.672
4.71,0.911887,334.09
4.72,0.914883,333.509
4.73,0.917885,332.93
4.74,0.920891,332.352
4.75,0.923903,331.775
4.76,0.92692,331.2
4.77,0.929942,330.626
4.78,0.932969,330.053
4.79,0.936002,329.482
4.8,0.93904,328.911
4.81,0.942083,328.343
4.82,0.945132,327.775
4.83,0.948186,327.209
4.84,0.951245,326.643
4.85,0.954309,326.08
4.86,0.957379,325.517
4.87,0.960454,324.956
4.88,0.963534,324.396
4.89,0.966619,323.837
4.9,0.96971,323.279
4.91,0.972807,322.723
4.92,0.975908,322.168
4.93,0.979015,321.614
4.94,0.982127,321.061
4.95,0.985245,320.51
4.96,0.988368,319.959
4.97,0.991496,319.41
4.98,0.99463,318.862
4.99,0.997769,318.316
5,1.00091,317.77
5.01,1.00406,317.226
5.02,1.00722,316.683
5.03,1.01038,316.141
5.04,1.01355,315.6
5.05,1.01672,315.06
5.06,1.01989,314.522
5.07,1.02308,313.984
5.08,1.02626,313.448
5.09,1.02946,312.913
5.1,1.03266,312.379
5.11,1.03586,311.847
5.12,1.03907,311.315
5.13,1.04229,310.784
5.14,1.04551,310.255
5.15,1.04873,309.727
5.16,1.05196,309.2
5.17,1.0552,308.674
5.18,1.05844,308.149
5.19,1.06169,307.625
5.2,1.06495,307.102
5.21,1.06821,306.581
5.22,1.07147,306.06
5.23,1.07474,305.541
5.24,1.07802,305.023
5.25,1.0813,304.505
5.26,1.08459,303.989
5.27,1.08788,303.474
5.28,1.09118,302.96
5.29,1.09448,302.447
5.3,1.09779,301.935
5.31,1.1011,301.424
5.32,1.10443,300.915
5.33,1.10775,300.406
5.34,1.11108,299.898
5.35,1.11442,299.391
5.36,1.11776,298.886
5.37,1.12111,298.381
5.38,1.12447,297.878
5.39,1.12783,297.375
5.4,1.13119,296.874
5.41,1.13457,296.373
5.42,1.13794,295.874
5.43,1.14133,295.375
5.44,1.14471,294.878
5.45,1.14811,294.381
5.46,1.15151,293.886
5.47,1.15491,293.391
5.48,1.15833,292.898
5.49,1.16174,292.405
5.5,1.16517,291.914
5.51,1.1686,291.423
5.52,1.17203,290.934
5.53,1.17547,290.445
5.54,1.17892,289.957
5.55,1.18237,289.471
5.56,1.18583,288.985
5.57,1.18929,288.5
5.58,1.19276,288.017
5.59,1.19623,287.534
5.6,1.19972,287.052
5.61,1.2032,286.571
5.62,1.2067,286.091
5.63,1.21019,285.612
5.64,1.2137,285.134
5.65,1.21721,284.656
5.66,1.22072,284.18
5.67,1.22425,283.705
5.68,1.22778,283.231
5.69,1.23131,282.757
5.7,1.23485,282.284
5.71,1.23839,281.813
5.72,1.24195,281.342
5.73,1.2455,280.872
