# Micromissile
# Mass m = 0.37 kg
# Coefficient of drag C_D = 0.7
# Cross-sectional area = 3e-4 m^2
# Air density = 1.204 kg/m^3
# Initial speed = 1000 m/s
# No lift-induced drag, no gravity

Distance [m],Speed [m/s]
2363.5,445.638
2367.88,444.96
2372.25,444.284
2376.62,443.611
2381,442.939
2385.38,442.27
2389.75,441.603
2394.12,440.937
2398.5,440.274
2402.88,439.612
2407.25,438.953
2411.62,438.296
2416,437.64
2420.38,436.986
2424.75,436.335
2429.12,435.685
2433.5,435.038
2437.88,434.392
2442.25,433.748
2446.62,433.106
2451,432.466
2455.38,431.828
2459.75,431.191
2464.12,430.557
2468.5,429.924
2472.88,429.294
2477.25,428.665
2481.62,428.038
2486,427.413
2490.38,426.789
2494.75,426.168
2499.12,425.548
2503.5,424.93
2507.88,424.314
2512.25,423.699
2516.62,423.087
2521,422.476
2525.38,421.867
2529.75,421.26
2534.12,420.654
2538.5,420.05
2542.88,419.448
2547.25,418.848
2551.62,418.249
2556,417.652
2560.38,417.057
2564.75,416.464
2569.12,415.872
2573.5,415.282
2577.88,414.693
2582.25,414.106
2586.62,413.521
2591,412.938
2595.38,412.356
2599.75,411.775
2604.12,411.197
2608.5,410.62
2612.88,410.044
2617.25,409.471
2621.62,408.898
2626,408.328
2630.38,407.759
2634.75,407.192
2639.12,406.626
2643.31,406.062
2647.06,405.499
2650.81,404.938
2654.56,404.378
2658.31,403.82
2662.06,403.264
2665.81,402.709
2669.56,402.155
2673.31,401.603
2677.06,401.053
2680.81,400.504
2684.56,399.957
2688.31,399.411
2692.06,398.867
2695.81,398.324
2699.56,397.782
2703.31,397.242
2707.06,396.704
2710.81,396.167
2714.56,395.631
2718.31,395.097
2722.06,394.564
2725.81,394.033
2729.56,393.503
2733.31,392.975
2737.06,392.448
2740.81,391.922
2744.56,391.398
2748.31,390.875
2752.06,390.354
2755.81,389.834
2759.56,389.315
2763.31,388.798
2767.06,388.282
2770.81,387.767
2774.56,387.254
2778.31,386.742
2782.06,386.232
2785.81,385.723
2789.56,385.215
2793.31,384.709
2797.06,384.204
2800.81,383.7
2804.56,383.198
2808.31,382.696
2812.06,382.197
2815.81,381.698
2819.56,381.201
2823.31,380.705
2827.06,380.21
2830.81,379.717
2834.56,379.225
2838.31,378.734
2842.06,378.245
2845.81,377.756
2849.56,377.269
2853.31,376.784
2857.06,376.299
2860.81,375.816
2864.56,375.334
2868.31,374.853
2872.06,374.373
2875.81,373.895
2879.56,373.418
2883.31,372.942
2887.06,372.467
2890.81,371.994
2894.56,371.522
2898.31,371.051
2902.06,370.581
2905.81,370.112
2909.56,369.645
2913.31,369.178
2917.06,368.713
2920.81,368.249
2924.56,367.786
2928.31,367.325
2932.06,366.864
2935.81,366.405
2939.56,365.947
2943.31,365.49
2947.06,365.034
2950.81,364.579
2954.56,364.125
2958.31,363.673
2962.06,363.221
2965.81,362.771
2969.56,362.322
2973.31,361.874
2977.06,361.427
2980.81,360.981
2984.56,360.536
2988.31,360.093
2992.06,359.65
2995.81,359.209
2999.56,358.768
3003.31,358.329
3007.06,357.891
3010.81,357.454
3014.56,357.018
3018.31,356.583
3022.06,356.149
3025.81,355.716
3029.56,355.284
3033.31,354.853
3037.06,354.423
3040.81,353.994
3044.56,353.567
3048.31,353.14
3052.06,352.714
3055.81,352.29
3059.56,351.866
3063.31,351.444
3067.06,351.022
3070.81,350.601
3074.56,350.182
3078.31,349.763
3082.06,349.346
3085.81,348.929
3089.56,348.514
3093.31,348.099
3097.06,347.685
3100.81,347.273
3104.56,346.861
3108.31,346.451
3112.06,346.041
3115.81,345.632
3119.56,345.224
3123.31,344.818
3127.06,344.412
3130.81,344.007
3134.31,343.603
3137.44,343.2
3140.56,342.798
3143.69,342.397
3146.81,341.997
3149.94,341.598
3153.06,341.199
3156.19,340.802
3159.31,340.406
3162.44,340.01
3165.56,339.616
3168.69,339.222
3171.81,338.829
3174.94,338.437
3178.06,338.046
3181.19,337.656
3184.31,337.267
3187.44,336.879
3190.56,336.491
3193.69,336.105
3196.81,335.719
3199.94,335.335
3203.06,334.951
3206.19,334.568
3209.31,334.186
3212.44,333.805
3215.56,333.424
3218.69,333.045
3221.81,332.666
3224.94,332.289
3228.06,331.912
3231.19,331.536
3234.31,331.16
3237.44,330.786
3240.56,330.413
3243.69,330.04
3246.81,329.668
3249.94,329.297
3253.06,328.927
3256.19,328.558
3259.31,328.189
3262.44,327.822
3265.56,327.455
3268.69,327.089
3271.81,326.724
3274.94,326.359
3278.06,325.996
3281.19,325.633
3284.31,325.271
3287.44,324.91
3290.56,324.55
3293.69,324.19
3296.81,323.831
3299.94,323.473
3303.06,323.116
3306.19,322.76
3309.31,322.404
3312.44,322.049
3315.56,321.695
3318.69,321.342
3321.81,320.99
3324.94,320.638
3328.06,320.287
3331.19,319.937
3334.31,319.587
3337.44,319.239
3340.56,318.891
3343.69,318.544
3346.81,318.197
3349.94,317.852
3353.06,317.507
3356.19,317.163
3359.31,316.819
3362.44,316.477
3365.56,316.135
3368.69,315.794
3371.81,315.453
3374.94,315.114
3378.06,314.775
3381.19,314.437
3384.31,314.099
3387.44,313.762
3390.56,313.426
3393.69,313.091
3396.81,312.756
3399.94,312.422
3403.06,312.089
3406.19,311.757
3409.31,311.425
3412.44,311.094
3415.56,310.764
3418.69,310.434
3421.81,310.105
3424.94,309.777
3428.06,309.449
3431.19,309.122
3434.31,308.796
3437.44,308.471
3440.56,308.146
3443.69,307.822
3446.81,307.498
3449.94,307.176
3453.06,306.853
3456.19,306.532
3459.31,306.211
3462.44,305.891
3465.56,305.572
3468.69,305.253
3471.81,304.935
3474.94,304.618
3478.06,304.301
3481.19,303.985
3484.31,303.669
3487.44,303.354
3490.56,303.04
3493.69,302.727
3496.81,302.414
3499.94,302.102
3503.06,301.79
3506.19,301.479
3509.31,301.169
3512.44,300.859
3515.56,300.551
3518.69,300.242
3521.81,299.934
3524.94,299.627
3528.06,299.321
3531.19,299.015
3534.31,298.71
3537.44,298.405
3540.56,298.101
3543.69,297.798
3546.81,297.495
3549.94,297.193
3553.06,296.892
3556.19,296.591
3559.31,296.29
3562.44,295.991
3565.56,295.692
3568.69,295.393
3571.81,295.095
3574.94,294.798
3578.06,294.501
3581.19,294.205
3584.31,293.91
3587.44,293.615
3590.56,293.321
3593.69,293.027
3596.81,292.734
3599.94,292.441
3603.06,292.149
3606.19,291.858
3609.31,291.567
3612.44,291.277
3615.56,290.987
3618.69,290.698
3621.81,290.41
3624.94,290.122
3628.06,289.835
3631.19,289.548
3634.31,289.262
3637.44,288.976
3640.56,288.691
3643.69,288.406
3646.81,288.122
3649.94,287.839
3653.06,287.556
3656.19,287.274
3659.31,286.992
3662.44,286.711
3665.56,286.43
3668.69,286.15
3671.81,285.871
3674.94,285.592
3678.06,285.313
3681.19,285.036
3684.31,284.758
3687.44,284.481
3690.56,284.205
3693.69,283.929
3696.81,283.654
3699.94,283.379
3703.06,283.105
3706.19,282.832
3709.31,282.559
3712.44,282.286
3715.56,282.014
3718.69,281.743
3721.81,281.472
3724.81,281.201
3727.31,280.931
3729.81,280.662
3732.31,280.393
3734.81,280.124
3737.31,279.857
3739.81,279.589
3742.31,279.322
3744.81,279.056
3747.31,278.79
3749.81,278.525
3752.31,278.26
3754.81,277.995
3757.31,277.732
3759.81,277.468
3762.31,277.206
3764.81,276.943
3767.31,276.681
3769.81,276.42
3772.31,276.159
3774.81,275.899
3777.31,275.639
3779.81,275.38
3782.31,275.121
3784.81,274.862
3787.31,274.604
3789.81,274.347
3792.31,274.09
3794.81,273.834
3797.31,273.578
3799.81,273.322
3802.31,273.067
3804.81,272.812
3807.31,272.558
3809.81,272.305
3812.31,272.052
3814.81,271.799
3817.31,271.547
3819.81,271.295
3822.31,271.044
3824.81,270.793
3827.31,270.543
3829.81,270.293
3832.31,270.043
3834.81,269.794
3837.31,269.546
3839.81,269.298
3842.31,269.05
3844.81,268.803
3847.31,268.556
3849.81,268.31
3852.31,268.064
3854.81,267.819
3857.31,267.574
3859.81,267.33
3862.31,267.086
3864.81,266.842
3867.31,266.599
3869.81,266.357
3872.31,266.114
3874.81,265.873
3877.31,265.631
3879.81,265.39
3882.31,265.15
3884.81,264.91
3887.31,264.67
3889.81,264.431
3892.31,264.193
3894.81,263.954
3897.31,263.716
3899.81,263.479
3902.31,263.242
3904.81,263.005
3907.31,262.769
3909.81,262.533
3912.31,262.298
3914.81,262.063
3917.31,261.829
3919.81,261.595
3922.31,261.361
3924.81,261.128
3927.31,260.895
3929.81,260.663
3932.31,260.431
3934.81,260.199
3937.31,259.968
3939.81,259.737
3942.31,259.507
3944.81,259.277
3947.31,259.048
3949.81,258.819
3952.31,258.59
3954.81,258.362
3957.31,258.134
3959.81,257.906
3962.31,257.679
3964.81,257.452
3967.31,257.226
3969.81,257
3972.31,256.775
3974.81,256.55
3977.31,256.325
3979.81,256.101
3982.31,255.877
3984.81,255.653
3987.31,255.43
3989.81,255.207
3992.31,254.985
3994.81,254.763
3997.31,254.541
3999.81,254.32
4002.31,254.099
4004.81,253.879
4007.31,253.659
4009.81,253.439
4012.31,253.22
4014.81,253.001
4017.31,252.782
4019.81,252.564
4022.31,252.346
4024.81,252.129
4027.31,251.912
4029.81,251.695
4032.31,251.479
4034.81,251.263
4037.31,251.048
4039.81,250.832
4042.31,250.618
4044.81,250.403
4047.31,250.189
4049.81,249.975
4052.31,249.762
4054.81,249.549
4057.31,249.336
4059.81,249.124
4062.31,248.912
4064.81,248.701
4067.31,248.49
4069.81,248.279
4072.31,248.068
4074.81,247.858
4077.31,247.648
4079.81,247.439
4082.31,247.23
4084.81,247.021
4087.31,246.813
4089.81,246.605
4092.31,246.397
4094.81,246.19
4097.31,245.983
4099.81,245.777
4102.31,245.57
4104.81,245.364
4107.31,245.159
4109.81,244.954
4112.31,244.749
4114.81,244.544
4117.31,244.34
4119.81,244.136
4122.31,243.933
4124.81,243.73
4127.31,243.527
4129.81,243.324
4132.31,243.122
4134.81,242.92
4137.31,242.719
4139.81,242.518
4142.31,242.317
4144.81,242.117
4147.31,241.916
4149.81,241.717
4152.31,241.517
4154.81,241.318
4157.31,241.119
4159.81,240.921
4162.31,240.722
4164.81,240.525
4167.31,240.327
4169.81,240.13
4172.31,239.933
4174.81,239.736
4177.31,239.54
4179.81,239.344
4182.31,239.149
4184.81,238.953
4187.31,238.758
4189.81,238.564
4192.31,238.37
4194.81,238.176
4197.31,237.982
4199.81,237.789
4202.31,237.595
4204.81,237.403
4207.31,237.21
4209.81,237.018
4212.31,236.826
4214.81,236.635
4217.31,236.444
4219.81,236.253
4222.31,236.062
4224.81,235.872
4227.31,235.682
4229.81,235.492
4232.31,235.303
4234.81,235.114
4237.31,234.925
4239.81,234.737
4242.31,234.549
4244.81,234.361
4247.31,234.173
4249.81,233.986
4252.31,233.799
4254.81,233.613
4257.31,233.426
4259.81,233.24
4262.31,233.054
4264.81,232.869
4267.31,232.684
4269.81,232.499
4272.31,232.314
4274.81,232.13
4277.31,231.946
4279.81,231.762
4282.31,231.579
4284.81,231.396
4287.31,231.213
4289.81,231.031
4292.31,230.848
4294.81,230.666
4297.31,230.485
4299.81,230.303
4302.31,230.122
4304.81,229.941
4307.31,229.761
4309.81,229.581
4312.31,229.401
4314.81,229.221
4317.31,229.042
4319.81,228.863
4322.31,228.684
4324.81,228.505
4327.31,228.327
4329.81,228.149
4332.31,227.971
4334.81,227.794
4337.31,227.617
4339.81,227.44
4342.31,227.263
4344.81,227.087
4347.31,226.911
4349.81,226.735
4352.31,226.559
4354.81,226.384
4357.31,226.209
4359.81,226.034
4362.31,225.86
4364.81,225.686
4367.31,225.512
4369.81,225.338
4372.31,225.165
4374.81,224.992
4377.31,224.819
4379.81,224.646
4382.31,224.474
4384.81,224.302
4387.31,224.13
4389.81,223.959
4392.31,223.787
4394.81,223.616
4397.31,223.446
4399.81,223.275
4402.31,223.105
4404.81,222.935
4407.31,222.765
4409.81,222.596
4412.31,222.427
4414.81,222.258
4417.31,222.089
4419.81,221.921
4422.31,221.752
4424.81,221.585
4427.31,221.417
4429.81,221.25
4432.31,221.082
4434.81,220.916
4437.31,220.749
4439.81,220.583
4442.31,220.416
4444.81,220.25
4447.31,220.085
4449.81,219.919
4452.31,219.754
4454.81,219.589
4457.31,219.425
4459.81,219.26
4462.31,219.096
4464.81,218.932
4467.31,218.769
4469.25,218.605
4471.12,218.442
4473,218.279
4474.88,218.116
4476.75,217.954
4478.62,217.792
4480.5,217.63
4482.38,217.468
4484.25,217.307
4486.12,217.145
4488,216.984
4489.88,216.824
4491.75,216.663
4493.62,216.503
4495.5,216.343
4497.38,216.183
4499.25,216.023
4501.12,215.864
4503,215.705
4504.88,215.546
4506.75,215.387
4508.62,215.229
4510.5,215.071
4512.38,214.913
4514.25,214.755
4516.12,214.598
4518,214.441
4519.88,214.284
4521.75,214.127
4523.62,213.97
4525.5,213.814
4527.38,213.658
4529.25,213.502
4531.12,213.346
4533,213.191
4534.88,213.036
4536.75,212.881
4538.62,212.726
4540.5,212.571
4542.38,212.417
4544.25,212.263
4546.12,212.109
4548,211.956
4549.88,211.802
4551.75,211.649
4553.62,211.496
4555.5,211.343
4557.38,211.191
4559.25,211.039
4561.12,210.886
4563,210.735
4564.88,210.583
4566.75,210.432
4568.62,210.28
4570.5,210.129
4572.38,209.979
4574.25,209.828
4576.12,209.678
4578,209.528
4579.88,209.378
4581.75,209.228
4583.62,209.079
4585.5,208.929
4587.38,208.78
4589.25,208.631
4591.12,208.483
4593,208.334
4594.88,208.186
4596.75,208.038
4598.62,207.89
4600.5,207.743
4602.38,207.595
4604.25,207.448
4606.12,207.301
4608,207.155
4609.88,207.008
4611.75,206.862
4613.62,206.716
4615.5,206.57
4617.38,206.424
4619.25,206.278
4621.12,206.133
4623,205.988
4624.88,205.843
4626.75,205.699
4628.62,205.554
4630.5,205.41
4632.38,205.266
4634.25,205.122
4636.12,204.978
4638,204.835
4639.88,204.691
4641.75,204.548
4643.62,204.405
4645.5,204.263
4647.38,204.12
4649.25,203.978
4651.12,203.836
4653,203.694
4654.88,203.552
4656.75,203.411
4658.62,203.27
4660.5,203.129
4662.38,202.988
4664.25,202.847
4666.12,202.707
4668,202.566
4669.88,202.426
4671.75,202.286
4673.62,202.146
4675.5,202.007
4677.38,201.868
4679.25,201.728
4681.12,201.589
4683,201.451
4684.88,201.312
4686.75,201.174
4688.62,201.036
4690.5,200.898
4692.38,200.76
4694.25,200.622
4696.12,200.485
4698,200.347
4699.88,200.21
4701.75,200.074
4703.62,199.937
4705.5,199.8
4707.38,199.664
4709.25,199.528
4711.12,199.392
4713,199.256
4714.88,199.121
4716.75,198.985
4718.62,198.85
4720.5,198.715
4722.38,198.58
4724.25,198.446
4726.12,198.311
4728,198.177
4729.88,198.043
4731.75,197.909
4733.62,197.775
4735.5,197.641
4737.38,197.508
4739.25,197.375
4741.12,197.242
4743,197.109
4744.88,196.976
4746.75,196.844
4748.62,196.711
4750.5,196.579
4752.38,196.447
4754.25,196.316
4756.12,196.184
4758,196.053
4759.88,195.921
4761.75,195.79
4763.62,195.659
4765.5,195.529
4767.38,195.398
4769.25,195.268
4771.12,195.138
4773,195.007
4774.88,194.878
4776.75,194.748
4778.62,194.618
4780.5,194.489
4782.38,194.36
4784.25,194.231
4786.12,194.102
4788,193.973
4789.88,193.845
4791.75,193.717
4793.62,193.589
4795.31,193.473
4797.19,193.345
4799.06,193.218
4800.94,193.09
4802.81,192.963
4804.69,192.836
4806.56,192.709
4808.44,192.582
4810.31,192.455
4812.19,192.329
4814.06,192.203
4815.94,192.077
4817.81,191.951
4819.69,191.825
4821.56,191.699
4823.44,191.574
4825.31,191.448
4827.19,191.323
4829.06,191.198
4830.94,191.073
4832.81,190.949
4834.69,190.824
4836.56,190.7
4838.44,190.576
4840.31,190.452
4842.19,190.328
4844.06,190.204
4845.94,190.08
4847.81,189.957
4849.69,189.834
4851.56,189.711
4853.44,189.588
4855.31,189.465
4857.19,189.343
4859.06,189.22
4860.94,189.098
4862.81,188.976
4864.69,188.854
4866.56,188.732
4868.44,188.61
4870.31,188.489
4872.19,188.368
4874.06,188.246
4875.94,188.125
4877.81,188.005
4879.69,187.884
4881.56,187.763
4883.44,187.643
4885.31,187.523
4887.19,187.403
4889.06,187.283
4890.94,187.163
4892.81,187.043
4894.69,186.924
4896.56,186.805
4898.44,186.685
4900.31,186.566
4902.19,186.448
4904.06,186.329
4905.94,186.21
4907.81,186.092
4909.69,185.974
4911.56,185.855
4913.44,185.738
4915.31,185.62
4917.19,185.502
4919.06,185.385
4920.94,185.267
4922.81,185.15
4924.69,185.033
4926.56,184.916
4928.44,184.799
4930.31,184.683
4932.19,184.566
4934.06,184.45
4935.94,184.334
4937.81,184.218
4939.69,184.102
4941.56,183.986
4943.44,183.87
4945.31,183.755
4947.19,183.64
4949.06,183.524
4950.94,183.409
4952.81,183.295
4954.69,183.18
4956.56,183.065
4958.44,182.951
4960.31,182.837
4962.19,182.722
4964.06,182.608
4965.94,182.495
4967.81,182.381
4969.69,182.267
4971.56,182.154
4973.44,182.04
4975.31,181.927
4977.19,181.814
4979.06,181.701
4980.94,181.589
4982.81,181.476
4984.69,181.364
4986.56,181.251
4988.44,181.139
4990.31,181.027
4992.19,180.915
4994.06,180.803
4995.94,180.692
4997.81,180.58
4999.69,180.469
5001.56,180.358
5003.44,180.247
5005.31,180.136
5007.19,180.025
5009.06,179.914
5010.94,179.804
5012.81,179.693
5014.69,179.583
5016.56,179.473
5018.44,179.363
5020.31,179.253
5022.19,179.143
5024.06,179.034
5025.94,178.924
5027.81,178.815
5029.69,178.706
5031.56,178.597
5033.44,178.488
5035.31,178.379
5037.19,178.27
5039.06,178.162
5040.94,178.053
5042.81,177.945
5044.69,177.837
5046.56,177.729
5048.44,177.621
5050.31,177.513
5052.19,177.406
5054.06,177.298
5055.94,177.191
5057.81,177.084
5059.69,176.977
5061.56,176.87
5063.44,176.763
5065.31,176.656
5067.19,176.55
5069.06,176.443
5070.94,176.337
5072.81,176.231
5074.69,176.125
5076.56,176.019
5078.44,175.913
5080.31,175.807
5082.19,175.702
5084.06,175.596
5085.94,175.491
5087.81,175.386
5089.69,175.281
5091.56,175.176
5093.44,175.071
5095.31,174.966
5097.19,174.862
5099.06,174.757
5100.94,174.653
5102.81,174.549
5104.69,174.445
5106.56,174.341
5108.44,174.237
5110.31,174.133
5112.19,174.03
5114.06,173.926
5115.94,173.823
5117.81,173.72
5119.69,173.617
5121.56,173.514
5123.44,173.411
5125.31,173.308
5127.19,173.206
5129.06,173.103
5130.94,173.001
5132.81,172.899
5134.69,172.797
5136.56,172.695
5138.44,172.593
5140.31,172.491
5142.19,172.39
5144.06,172.288
5145.94,172.187
5147.81,172.086
5149.69,171.984
5151.56,171.883
5153.44,171.783
5155.31,171.682
5157.19,171.581
5159.06,171.481
5160.94,171.38
5162.81,171.28
5164.69,171.18
5166.56,171.08
5168.44,170.98
5170.31,170.88
5172.19,170.78
5174.06,170.681
5175.94,170.581
5177.81,170.482
5179.69,170.382
5181.56,170.283
5183.44,170.184
5185.31,170.085
5187.19,169.987
5189.06,169.888
5190.94,169.789
5192.81,169.691
5194.69,169.593
5196.56,169.494
5198.44,169.396
5200.31,169.298
5202.19,169.2
5204.06,169.103
5205.94,169.005
5207.81,168.907
5209.69,168.81
5211.56,168.713
5213.44,168.615
5215.31,168.518
5217.19,168.421
5219.06,168.324
5220.94,168.228
5222.81,168.131
5224.69,168.035
5226.56,167.938
5228.44,167.842
5230.31,167.746
5232.19,167.649
5234.06,167.553
5235.94,167.458
5237.81,167.362
5239.69,167.266
5241.56,167.171
5243.44,167.075
5245.31,166.98
5247.19,166.885
5249.06,166.79
5250.94,166.695
5252.81,166.6
5254.69,166.505
5256.56,166.41
5258.44,166.316
5260.31,166.221
5262.19,166.127
5264.06,166.033
5265.94,165.938
5267.81,165.844
5269.69,165.751
5271.56,165.657
5273.44,165.563
5275.31,165.469
5277.19,165.376
5279.06,165.282
5280.94,165.189
5282.81,165.096
5284.69,165.003
5286.56,164.91
5288.44,164.817
5290.31,164.724
5292.19,164.632
5294.06,164.539
5295.94,164.447
5297.81,164.354
5299.69,164.262
5301.56,164.17
5303.44,164.078
5305.31,163.986
5307.19,163.894
5309.06,163.802
5310.94,163.711
5312.81,163.619
5314.69,163.528
5316.56,163.436
5318.44,163.345
5320.31,163.254
5322.19,163.163
5324.06,163.072
5325.94,162.981
5327.81,162.891
5329.69,162.8
5331.56,162.709
5333.44,162.619
5335.31,162.529
5337.19,162.439
5339.06,162.348
5340.94,162.258
5342.81,162.169
5344.69,162.079
5346.56,161.989
5348.44,161.899
5350.31,161.81
5352.19,161.72
5354.06,161.631
5355.94,161.542
5357.81,161.453
5359.69,161.364
5361.56,161.275
5363.44,161.186
5365.31,161.097
5367.19,161.009
5369.06,160.92
5370.94,160.832
5372.81,160.743
5374.69,160.655
5376.56,160.567
5378.44,160.479
5380.31,160.391
5382.19,160.303
5384.06,160.215
5385.94,160.128
5387.81,160.04
5389.69,159.953
5391.56,159.865
5393.44,159.778
5395.31,159.691
5397.19,159.604
5399.06,159.517
5400.94,159.43
5402.81,159.343
5404.69,159.256
5406.56,159.17
5408.44,159.083
5410.31,158.997
5412.19,158.91
5414.06,158.824
5415.94,158.738
5417.81,158.652
5419.69,158.566
5421.56,158.48
5423.44,158.394
5425.31,158.309
