# 20240820
# TI IWR6843AOPEVM
# Copper corner reflector
# Cory roof
# Range: 3 m

Azimuth,Elevation,TX1RX1,TX1RX2,TX1RX3,TX1RX4,TX2RX1,TX2RX2,TX2RX3,TX2RX4,TX3RX1,TX3RX2,TX3RX3,TX3RX4
1.790785,-0.000000,(-5137-436893j),(-21737-400633j),(-124477-428963j),(-25284-402942j),(32972-366106j),(59880-429630j),(-28200-375858j),(3578-355320j),(58628-374151j),(-42076-388444j),(-55297-400089j),(13448-362938j)
1.790785,-0.000000,(-7145-435206j),(-23710-399911j),(-127830-423349j),(-28590-404343j),(33666-365754j),(54111-423561j),(-27640-373617j),(-1932-351661j),(55123-375218j),(-41001-384072j),(-59279-397689j),(12709-360597j)
1.790785,-0.000000,(15181-434262j),(-563-398670j),(-105767-428847j),(-4147-403413j),(52847-361246j),(76980-421114j),(-8336-373753j),(18904-352617j),(75525-370983j),(-21370-383380j),(-39421-398122j),(32519-361867j)
1.790785,-0.000000,(47506-431185j),(30480-400105j),(-71361-435916j),(23137-401911j),(80657-354529j),(107528-415812j),(21213-373083j),(44104-346404j),(103677-364835j),(9227-383418j),(-8277-401263j),(57959-356763j)
1.790785,-0.000000,(-35057-431741j),(-48280-395558j),(-155223-413169j),(-51646-400891j),(11467-366399j),(29492-424007j),(-51605-369992j),(-23019-351431j),(31403-376191j),(-65086-381990j),(-85687-391648j),(-8955-362238j)
1.790785,-0.000000,(-27267-430999j),(-41080-397632j),(-145894-413840j),(-47139-402517j),(19761-363455j),(37172-425785j),(-43073-368033j),(-18347-352818j),(40729-372997j),(-59209-382215j),(-74286-390703j),(-6463-360431j)
1.790785,-0.000000,(31710-431999j),(15757-399177j),(-88687-432456j),(11726-402196j),(68749-356408j),(93480-418673j),(7594-372660j),(33512-347738j),(90769-365150j),(-4125-384700j),(-23725-398679j),(48962-358409j)
1.790785,-0.000000,(-7296-432651j),(-19686-399486j),(-125800-419494j),(-27903-404136j),(35191-362569j),(59640-423926j),(-26035-371468j),(-425-352226j),(56423-371762j),(-37894-384532j),(-57098-392950j),(12141-360799j)
1.790785,-0.000000,(18921-432451j),(4877-397172j),(-102037-427607j),(-1766-400737j),(56462-358910j),(83935-420299j),(-5299-372274j),(25858-351239j),(80742-368719j),(-16078-381083j),(-33172-396410j),(32849-360130j)
1.790785,-0.000000,(114688-417867j),(96173-386949j),(-3209-440467j),(88988-389997j),(135749-333464j),(175032-395563j),(80599-364199j),(105554-333298j),(163937-341178j),(68748-371651j),(57541-393110j),(112683-344409j)
1.790785,-0.000000,(170019-397498j),(152146-372682j),(56974-435399j),(143535-377374j),(182660-307549j),(223357-370242j),(132516-348148j),(146494-314402j),(210552-316767j),(122068-357998j),(110464-381208j),(159206-326200j)
1.790785,-0.000000,(147210-407714j),(129696-380823j),(33837-437442j),(116430-384281j),(162825-318457j),(203337-383132j),(111291-355635j),(128058-322246j),(191113-326788j),(98666-365890j),(90970-385910j),(137363-334322j)
1.790785,-0.000000,(91941-422953j),(74324-391944j),(-25248-440050j),(64722-392936j),(115759-340614j),(152107-405377j),(60666-368592j),(84656-337124j),(144401-349868j),(47680-377688j),(36155-396906j),(92591-347428j)
1.790785,-0.000000,(49748-431582j),(33702-395199j),(-69652-435499j),(27101-395738j),(81603-353204j),(114627-414830j),(21232-372361j),(51873-345646j),(107261-362168j),(10161-380752j),(-5692-397588j),(59558-357709j)
1.790785,-0.000000,(87684-424727j),(71659-392375j),(-30495-437619j),(61245-393243j),(112628-342593j),(152165-405268j),(55297-367508j),(82834-339508j),(140670-350406j),(45106-377702j),(30851-393906j),(89088-352132j)
1.790785,-0.000000,(86959-423335j),(69352-391904j),(-31226-438070j),(60468-394191j),(113645-340077j),(147602-404720j),(56603-367528j),(78487-336810j),(140438-351316j),(42087-377268j),(30279-396879j),(89134-348798j)
1.790785,-0.000000,(12980-433509j),(-1636-393254j),(-107004-427772j),(-8054-396145j),(50198-359134j),(82018-421114j),(-11197-371595j),(21388-349766j),(76071-368239j),(-23652-381426j),(-38855-393229j),(25970-359209j)
1.790785,-0.000000,(-28437-432431j),(-40572-388895j),(-146992-414724j),(-46713-391919j),(11535-364502j),(44599-427198j),(-50383-368751j),(-11868-353776j),(38178-372226j),(-61497-380081j),(-74750-386975j),(-12572-360371j)
