# Micromissile
# Constant L/D = 5
# Initial speed = 1000 m/s
# Constant normal acceleration = 100 m/s^2
# No air drag, no gravity

Azimuth [rad],Speed [m/s]
0.347822,932.817
0.348894,932.617
0.349967,932.418
0.351039,932.218
0.352112,932.018
0.353185,931.818
0.354259,931.618
0.355332,931.418
0.356406,931.218
0.35748,931.018
0.358554,930.818
0.359629,930.618
0.360703,930.418
0.361778,930.218
0.362853,930.018
0.363929,929.818
0.365004,929.618
0.36608,929.418
0.367156,929.218
0.368233,929.018
0.369309,928.819
0.370386,928.619
0.371463,928.419
0.37254,928.219
0.373617,928.019
0.374695,927.819
0.375773,927.619
0.376851,927.419
0.37793,927.219
0.379008,927.019
0.380087,926.819
0.381166,926.619
0.382246,926.419
0.383325,926.219
0.384405,926.019
0.385485,925.819
0.386565,925.619
0.387646,925.419
0.388726,925.22
0.389807,925.02
0.390889,924.82
0.39197,924.62
0.393052,924.42
0.394134,924.22
0.395216,924.02
0.396298,923.82
0.397381,923.62
0.398463,923.42
0.399546,923.22
0.40063,923.02
0.401713,922.82
0.402797,922.62
0.403881,922.42
0.404965,922.22
0.40605,922.02
0.407135,921.82
0.408219,921.62
0.409305,921.42
0.41039,921.22
0.411476,921.021
0.412562,920.821
0.413648,920.621
0.414734,920.421
0.415821,920.221
0.416907,920.021
0.417995,919.821
0.419082,919.621
0.420169,919.421
0.421257,919.221
0.422345,919.021
0.423433,918.821
0.424522,918.621
0.425611,918.421
0.4267,918.221
0.427789,918.021
0.428878,917.821
0.429968,917.621
0.431058,917.421
0.432148,917.222
0.433238,917.022
0.434329,916.822
0.43542,916.622
0.436511,916.422
0.437602,916.222
0.438694,916.022
0.439786,915.822
0.440878,915.622
0.44197,915.422
0.443062,915.222
0.444155,915.022
0.445248,914.822
0.446341,914.622
0.447435,914.422
0.448529,914.222
0.449623,914.022
0.450717,913.823
0.451811,913.623
0.452906,913.423
0.454001,913.223
0.455096,913.023
0.456191,912.823
0.457287,912.623
0.458383,912.423
0.459479,912.223
0.460575,912.023
0.461672,911.823
0.462769,911.623
0.463866,911.423
0.464963,911.223
0.466061,911.023
0.467159,910.823
0.468257,910.623
0.469355,910.423
0.470453,910.223
0.471552,910.024
0.472651,909.824
0.47375,909.624
0.47485,909.424
0.47595,909.224
0.47705,909.024
0.47815,908.824
0.47925,908.624
0.480351,908.424
0.481452,908.224
0.482553,908.024
0.483655,907.824
0.484756,907.624
0.485858,907.424
0.48696,907.224
0.488063,907.024
0.489165,906.824
0.490268,906.624
0.491371,906.424
0.492475,906.224
0.493578,906.024
0.494682,905.824
0.495786,905.624
0.496891,905.424
0.497995,905.225
0.4991,905.025
0.500205,904.825
0.501311,904.625
0.502416,904.425
0.503522,904.225
0.504628,904.025
0.505734,903.825
0.506841,903.625
0.507948,903.425
0.509055,903.225
0.510162,903.025
0.511269,902.825
0.512377,902.625
0.513485,902.425
0.514594,902.226
0.515702,902.026
0.516811,901.826
0.51792,901.626
0.519029,901.426
0.520139,901.226
0.521248,901.026
0.522358,900.826
0.523468,900.626
0.524579,900.426
0.52569,900.226
0.526801,900.026
0.527912,899.826
0.529023,899.626
0.530135,899.426
0.531247,899.226
0.532359,899.026
0.533472,898.826
0.534584,898.627
0.535697,898.427
0.53681,898.227
0.537924,898.027
0.539038,897.827
0.540151,897.627
0.541266,897.427
0.54238,897.227
0.543495,897.027
0.54461,896.827
0.545725,896.627
0.54684,896.427
0.547956,896.227
0.549072,896.027
0.550188,895.827
0.551304,895.627
0.552421,895.427
0.553538,895.227
0.554655,895.028
0.555773,894.828
0.55689,894.628
0.558008,894.428
0.559126,894.228
0.560245,894.028
0.561363,893.828
0.562482,893.628
0.563602,893.428
0.564721,893.228
0.565841,893.028
0.566961,892.828
0.568081,892.628
0.569201,892.428
0.570322,892.228
0.571443,892.028
0.572564,891.828
0.573685,891.628
0.574807,891.428
0.575929,891.229
0.577051,891.029
0.578174,890.829
0.579296,890.629
0.580419,890.429
0.581542,890.229
0.582666,890.029
0.58379,889.829
0.584914,889.629
0.586038,889.429
0.587162,889.229
0.588287,889.029
0.589412,888.829
0.590537,888.629
0.591663,888.429
0.592788,888.229
0.593914,888.029
0.595041,887.83
0.596167,887.63
0.597294,887.43
0.598421,887.23
0.599548,887.03
0.600675,886.83
0.601803,886.63
0.602931,886.43
0.604059,886.23
0.605188,886.03
0.606317,885.83
0.607446,885.63
0.608575,885.43
0.609705,885.23
0.610834,885.03
0.611964,884.83
0.613095,884.63
0.614225,884.43
0.615356,884.23
0.616487,884.031
0.617619,883.831
0.61875,883.631
0.619882,883.431
0.621014,883.231
0.622146,883.031
0.623279,882.831
0.624412,882.631
0.625545,882.431
0.626678,882.231
0.627812,882.031
0.628946,881.831
0.63008,881.631
0.631214,881.431
0.632349,881.231
0.633484,881.031
0.634619,880.831
0.635755,880.632
0.63689,880.432
0.638026,880.232
0.639162,880.032
0.640299,879.832
0.641436,879.632
0.642573,879.432
0.64371,879.232
0.644847,879.032
0.645985,878.832
0.647123,878.632
0.648261,878.432
0.6494,878.232
0.650539,878.032
0.651678,877.832
0.652817,877.632
0.653957,877.432
0.655096,877.232
0.656236,877.032
0.657377,876.833
0.658517,876.633
0.659658,876.433
0.6608,876.233
0.661941,876.033
0.663083,875.833
0.664225,875.633
0.665367,875.433
0.666509,875.233
0.667652,875.033
0.668795,874.833
0.669938,874.633
0.671082,874.433
0.672225,874.233
0.673369,874.033
0.674514,873.833
0.675658,873.633
0.676803,873.433
0.677948,873.233
0.679093,873.034
0.680239,872.834
0.681385,872.634
0.682531,872.434
0.683677,872.234
0.684824,872.034
0.685971,871.834
0.687118,871.634
0.688265,871.434
0.689413,871.234
0.690561,871.034
0.691709,870.834
0.692858,870.634
0.694006,870.434
0.695155,870.234
0.696304,870.034
0.697454,869.834
0.698604,869.635
0.699754,869.435
0.700904,869.235
0.702055,869.035
0.703205,868.835
0.704357,868.635
0.705508,868.435
0.70666,868.235
0.707812,868.035
0.708964,867.835
0.710116,867.635
0.711269,867.435
0.712422,867.235
0.713575,867.035
0.714729,866.835
0.715882,866.635
0.717036,866.435
0.718191,866.236
0.719345,866.036
0.7205,865.836
0.721655,865.636
0.72281,865.436
0.723966,865.236
0.725122,865.036
0.726278,864.836
0.727435,864.636
0.728591,864.436
0.729748,864.236
0.730905,864.036
0.732063,863.836
0.733221,863.636
0.734379,863.436
0.735537,863.236
0.736696,863.036
0.737854,862.836
0.739014,862.636
0.740173,862.437
0.741333,862.237
0.742493,862.037
0.743653,861.837
0.744813,861.637
0.745974,861.437
0.747135,861.237
0.748296,861.037
0.749458,860.837
0.75062,860.637
0.751782,860.437
0.752944,860.237
0.754107,860.037
0.755269,859.837
0.756433,859.637
0.757596,859.437
0.75876,859.237
0.759924,859.038
0.761088,858.838
0.762252,858.638
0.763417,858.438
0.764582,858.238
0.765748,858.038
0.766913,857.838
0.768079,857.638
0.769245,857.438
0.770412,857.238
0.771578,857.038
0.772745,856.838
0.773913,856.638
0.77508,856.438
0.776248,856.238
0.777416,856.038
0.778584,855.838
0.779753,855.638
0.780922,855.438
0.782091,855.238
0.78326,855.039
0.78443,854.839
0.7856,854.639
0.78677,854.439
0.787941,854.239
0.789111,854.039
0.790283,853.839
0.791454,853.639
0.792626,853.439
0.793797,853.239
0.79497,853.039
0.796142,852.839
0.797315,852.639
0.798488,852.439
0.799661,852.239
0.800835,852.039
0.802008,851.84
0.803182,851.64
0.804357,851.44
0.805531,851.24
0.806706,851.04
0.807881,850.84
0.809057,850.64
0.810233,850.44
0.811409,850.24
0.812585,850.04
0.813762,849.84
0.814938,849.64
0.816116,849.44
0.817293,849.24
0.818471,849.041
0.819649,848.841
0.820827,848.641
0.822005,848.441
0.823184,848.241
0.824363,848.041
0.825542,847.841
0.826722,847.641
0.827902,847.441
0.829082,847.241
0.830263,847.041
0.831443,846.841
0.832624,846.641
0.833806,846.441
0.834987,846.241
0.836169,846.041
0.837351,845.842
0.838534,845.642
0.839716,845.442
0.840899,845.242
0.842082,845.042
0.843266,844.842
0.84445,844.642
0.845634,844.442
0.846818,844.242
0.848003,844.042
0.849188,843.842
0.850373,843.642
0.851559,843.442
0.852744,843.242
0.85393,843.042
0.855117,842.842
0.856303,842.642
0.85749,842.442
0.858677,842.243
0.859865,842.043
0.861053,841.843
0.862241,841.643
0.863429,841.443
0.864618,841.243
0.865806,841.043
0.866996,840.843
0.868185,840.643
0.869375,840.443
0.870565,840.243
0.871755,840.043
0.872946,839.843
0.874137,839.643
0.875328,839.443
0.876519,839.243
0.877711,839.044
0.878903,838.844
0.880095,838.644
0.881288,838.444
0.88248,838.244
0.883674,838.044
0.884867,837.844
0.886061,837.644
0.887255,837.444
0.888449,837.244
0.889643,837.044
0.890838,836.844
0.892033,836.644
0.893229,836.444
0.894425,836.244
0.895621,836.044
0.896817,835.845
0.898013,835.645
0.89921,835.445
0.900407,835.245
0.901605,835.045
0.902802,834.845
0.904,834.645
0.905199,834.445
0.906397,834.245
0.907596,834.045
0.908795,833.845
0.909994,833.645
0.911194,833.445
0.912394,833.245
0.913594,833.045
0.914795,832.845
0.915996,832.646
0.917197,832.446
0.918399,832.246
0.9196,832.046
0.920802,831.846
0.922005,831.646
0.923207,831.446
0.92441,831.246
0.925613,831.046
0.926817,830.846
0.92802,830.646
0.929224,830.446
0.930429,830.246
0.931633,830.046
0.932838,829.846
0.934044,829.646
0.935249,829.447
0.936455,829.247
0.937661,829.047
0.938867,828.847
0.940074,828.647
0.941281,828.447
0.942488,828.247
0.943696,828.047
0.944904,827.847
0.946112,827.647
0.94732,827.447
0.948529,827.247
0.949738,827.047
0.950947,826.847
0.952157,826.647
0.953366,826.447
0.954577,826.248
0.955787,826.048
0.956998,825.848
0.958209,825.648
0.95942,825.448
0.960632,825.248
0.961844,825.048
0.963056,824.848
0.964268,824.648
0.965481,824.448
0.966694,824.248
0.967908,824.048
0.969121,823.848
0.970335,823.648
0.97155,823.448
0.972764,823.248
0.973979,823.048
0.975194,822.849
0.97641,822.649
0.977625,822.449
0.978842,822.249
0.980058,822.049
0.981274,821.849
0.982491,821.649
0.983709,821.449
0.984926,821.249
0.986144,821.049
0.987362,820.849
0.988581,820.649
0.989799,820.449
0.991018,820.249
0.992238,820.049
0.993457,819.85
0.994677,819.65
0.995897,819.45
0.997118,819.25
0.998339,819.05
0.99956,818.85
1.00078,818.65
1.002,818.45
1.00322,818.25
1.00445,818.05
1.00567,817.85
1.00689,817.65
1.00812,817.45
1.00934,817.25
1.01056,817.05
1.01179,816.85
1.01301,816.651
1.01424,816.451
1.01546,816.251
1.01669,816.051
1.01791,815.851
1.01914,815.651
1.02036,815.451
1.02159,815.251
1.02282,815.051
1.02404,814.851
1.02527,814.651
1.0265,814.451
1.02773,814.251
1.02896,814.051
1.03018,813.851
1.03141,813.651
1.03264,813.452
1.03387,813.252
1.0351,813.052
1.03633,812.852
1.03756,812.652
1.03879,812.452
1.04002,812.252
1.04126,812.052
1.04249,811.852
1.04372,811.652
1.04495,811.452
1.04618,811.252
1.04742,811.052
1.04865,810.852
1.04988,810.652
1.05112,810.452
1.05235,810.252
1.05358,810.053
1.05482,809.853
1.05605,809.653
1.05729,809.453
1.05853,809.253
1.05976,809.053
1.061,808.853
1.06223,808.653
1.06347,808.453
1.06471,808.253
1.06595,808.053
1.06718,807.853
1.06842,807.653
1.06966,807.453
1.0709,807.253
1.07214,807.054
1.07338,806.854
1.07462,806.654
1.07586,806.454
1.0771,806.254
1.07834,806.054
1.07958,805.854
1.08082,805.654
1.08206,805.454
1.0833,805.254
1.08454,805.054
1.08579,804.854
1.08703,804.654
1.08827,804.454
1.08951,804.254
1.09076,804.055
1.092,803.855
1.09325,803.655
1.09449,803.455
1.09574,803.255
1.09698,803.055
1.09823,802.855
1.09947,802.655
1.10072,802.455
1.10196,802.255
1.10321,802.055
1.10446,801.855
1.1057,801.655
1.10695,801.455
1.1082,801.256
1.10945,801.056
1.1107,800.856
1.11195,800.656
1.11319,800.456
1.11444,800.256
1.11569,800.056
1.11694,799.856
1.11819,799.656
1.11945,799.456
1.1207,799.256
1.12195,799.056
1.1232,798.856
1.12445,798.656
1.1257,798.456
1.12696,798.256
1.12821,798.057
1.12946,797.857
1.13072,797.657
1.13197,797.457
1.13322,797.257
1.13448,797.057
1.13573,796.857
1.13699,796.657
1.13824,796.457
1.1395,796.257
1.14076,796.057
1.14201,795.857
1.14327,795.657
1.14453,795.457
1.14578,795.257
1.14704,795.057
1.1483,794.858
1.14956,794.658
1.15082,794.458
1.15207,794.258
1.15333,794.058
1.15459,793.858
1.15585,793.658
1.15711,793.458
1.15837,793.258
1.15963,793.058
1.1609,792.858
1.16216,792.658
1.16342,792.458
1.16468,792.258
1.16594,792.058
1.16721,791.859
1.16847,791.659
1.16973,791.459
1.171,791.259
1.17226,791.059
1.17352,790.859
1.17479,790.659
1.17605,790.459
1.17732,790.259
1.17858,790.059
1.17985,789.859
1.18112,789.659
1.18238,789.459
1.18365,789.259
1.18492,789.059
1.18618,788.86
1.18745,788.66
1.18872,788.46
1.18999,788.26
1.19126,788.06
1.19253,787.86
1.1938,787.66
1.19507,787.46
1.19634,787.26
1.19761,787.06
1.19888,786.86
1.20015,786.66
1.20142,786.46
1.20269,786.26
1.20396,786.06
1.20524,785.86
1.20651,785.661
1.20778,785.461
1.20905,785.261
1.21033,785.061
1.2116,784.861
1.21288,784.661
1.21415,784.461
1.21543,784.261
1.2167,784.061
1.21798,783.861
1.21925,783.661
1.22053,783.461
1.22181,783.261
1.22308,783.061
1.22436,782.861
1.22564,782.661
1.22692,782.462
1.22819,782.262
1.22947,782.062
1.23075,781.862
1.23203,781.662
1.23331,781.462
1.23459,781.262
1.23587,781.062
1.23715,780.862
1.23843,780.662
1.23971,780.462
1.24099,780.262
1.24228,780.062
1.24356,779.862
1.24484,779.662
1.24612,779.462
1.24741,779.262
1.24869,779.063
1.24997,778.863
1.25126,778.663
1.25254,778.463
1.25383,778.263
1.25511,778.063
1.2564,777.863
1.25768,777.663
1.25897,777.463
1.26025,777.263
1.26154,777.063
1.26283,776.863
1.26412,776.663
1.2654,776.463
1.26669,776.263
1.26798,776.064
1.26927,775.864
1.27056,775.664
1.27185,775.464
1.27314,775.264
1.27443,775.064
1.27572,774.864
1.27701,774.664
1.2783,774.464
1.27959,774.264
1.28088,774.064
1.28217,773.864
1.28347,773.664
1.28476,773.464
1.28605,773.265
1.28735,773.065
1.28864,772.865
1.28993,772.665
1.29123,772.465
1.29252,772.265
1.29382,772.065
1.29511,771.865
1.29641,771.665
1.29771,771.465
1.299,771.265
1.3003,771.065
1.3016,770.865
1.30289,770.665
1.30419,770.465
1.30549,770.265
1.30679,770.066
1.30809,769.866
1.30939,769.666
1.31068,769.466
1.31198,769.266
1.31328,769.066
1.31459,768.866
1.31589,768.666
1.31719,768.466
1.31849,768.266
1.31979,768.066
1.32109,767.866
1.3224,767.666
1.3237,767.466
1.325,767.266
1.3263,767.066
1.32761,766.867
1.32891,766.667
1.33022,766.467
1.33152,766.267
1.33283,766.067
1.33413,765.867
1.33544,765.667
1.33675,765.467
1.33805,765.267
1.33936,765.067
1.34067,764.867
1.34197,764.667
1.34328,764.467
1.34459,764.267
1.3459,764.067
1.34721,763.868
1.34852,763.668
1.34983,763.468
1.35114,763.268
1.35245,763.068
1.35376,762.868
1.35507,762.668
1.35638,762.468
1.35769,762.268
1.359,762.068
1.36032,761.868
1.36163,761.668
1.36294,761.468
1.36426,761.268
1.36557,761.068
1.36688,760.869
1.3682,760.669
1.36951,760.469
1.37083,760.269
1.37214,760.069
1.37346,759.869
1.37477,759.669
1.37609,759.469
1.37741,759.269
1.37873,759.069
1.38004,758.869
1.38136,758.669
1.38268,758.469
1.384,758.27
1.38532,758.07
1.38664,757.87
1.38796,757.67
1.38928,757.47
1.3906,757.27
1.39192,757.07
1.39324,756.87
1.39456,756.67
1.39588,756.47
1.3972,756.27
1.39853,756.07
1.39985,755.87
1.40117,755.67
