# Micromissile
# Constant L/D = 5
# Initial speed = 1000 m/s
# Constant normal acceleration = 100 m/s^2
# No air drag, no gravity

Azimuth [rad],Speed [m/s]
1.79746,698.111
1.79889,697.911
1.80032,697.711
1.80175,697.511
1.80319,697.311
1.80462,697.111
1.80606,696.911
1.80749,696.711
1.80893,696.511
1.81036,696.311
1.8118,696.111
1.81324,695.912
1.81467,695.712
1.81611,695.512
1.81755,695.312
1.81899,695.112
1.82043,694.912
1.82187,694.712
1.82331,694.512
1.82475,694.312
1.82619,694.112
1.82763,693.912
1.82907,693.712
1.83051,693.512
1.83195,693.312
1.8334,693.113
1.83484,692.913
1.83628,692.713
1.83773,692.513
1.83917,692.313
1.84061,692.113
1.84206,691.913
1.84351,691.713
1.84495,691.513
1.8464,691.313
1.84784,691.113
1.84929,690.913
1.85074,690.713
1.85219,690.513
1.85364,690.314
1.85508,690.114
1.85653,689.914
1.85798,689.714
1.85943,689.514
1.86088,689.314
1.86233,689.114
1.86379,688.914
1.86524,688.714
1.86669,688.514
1.86814,688.314
1.8696,688.114
1.87105,687.915
1.8725,687.715
1.87396,687.515
1.87541,687.315
1.87687,687.115
1.87832,686.915
1.87978,686.715
1.88124,686.515
1.88269,686.315
1.88415,686.115
1.88561,685.915
1.88707,685.715
1.88852,685.515
1.88998,685.315
1.89144,685.115
1.8929,684.916
1.89436,684.716
1.89582,684.516
1.89728,684.316
1.89875,684.116
1.90021,683.916
1.90167,683.716
1.90313,683.516
1.9046,683.316
1.90606,683.116
1.90752,682.916
1.90899,682.716
1.91045,682.516
1.91192,682.317
1.91338,682.117
1.91485,681.917
1.91632,681.717
1.91778,681.517
1.91925,681.317
1.92072,681.117
1.92219,680.917
1.92366,680.717
1.92513,680.517
1.9266,680.317
1.92807,680.117
1.92954,679.917
1.93101,679.717
1.93248,679.518
1.93395,679.318
1.93542,679.118
1.9369,678.918
1.93837,678.718
1.93984,678.518
1.94132,678.318
1.94279,678.118
1.94427,677.918
1.94574,677.718
1.94722,677.518
1.94869,677.318
1.95017,677.118
1.95165,676.918
1.95313,676.719
1.9546,676.519
1.95608,676.319
1.95756,676.119
1.95904,675.919
1.96052,675.719
1.962,675.519
1.96348,675.319
1.96496,675.119
1.96644,674.919
1.96792,674.719
1.96941,674.519
1.97089,674.319
1.97237,674.119
1.97386,673.92
1.97534,673.72
1.97683,673.52
1.97831,673.32
1.9798,673.12
1.98128,672.92
1.98277,672.72
1.98425,672.52
1.98574,672.32
1.98723,672.12
1.98872,671.92
1.99021,671.72
1.99169,671.521
1.99318,671.321
1.99467,671.121
1.99616,670.921
1.99766,670.721
1.99915,670.521
2.00064,670.321
2.00213,670.121
2.00362,669.921
2.00512,669.721
2.00661,669.521
2.0081,669.321
2.0096,669.121
2.01109,668.921
2.01259,668.722
2.01408,668.522
2.01558,668.322
2.01708,668.122
2.01857,667.922
2.02007,667.722
2.02157,667.522
2.02307,667.322
2.02456,667.122
2.02606,666.922
2.02756,666.722
2.02906,666.522
2.03056,666.322
2.03207,666.122
2.03357,665.922
2.03507,665.722
2.03657,665.523
2.03807,665.323
2.03958,665.123
2.04108,664.923
2.04259,664.723
2.04409,664.523
2.04559,664.323
2.0471,664.123
2.04861,663.923
2.05011,663.723
2.05162,663.523
2.05313,663.323
2.05463,663.123
2.05614,662.923
2.05765,662.723
2.05916,662.524
2.06067,662.324
2.06218,662.124
2.06369,661.924
2.0652,661.724
2.06671,661.524
2.06823,661.324
2.06974,661.124
2.07125,660.924
2.07276,660.724
2.07428,660.524
2.07579,660.324
2.07731,660.124
2.07882,659.925
2.08034,659.725
2.08185,659.525
2.08337,659.325
2.08489,659.125
2.0864,658.925
2.08792,658.725
2.08944,658.525
2.09096,658.325
2.09248,658.125
2.094,657.925
2.09552,657.725
2.09704,657.526
2.09856,657.326
2.10008,657.126
2.1016,656.926
2.10313,656.726
2.10465,656.526
2.10617,656.326
2.1077,656.126
2.10922,655.926
2.11075,655.726
2.11227,655.526
2.1138,655.326
2.11532,655.127
2.11685,654.927
2.11838,654.727
2.1199,654.527
2.12143,654.327
2.12296,654.127
2.12449,653.927
2.12602,653.727
2.12755,653.527
2.12908,653.327
2.13061,653.127
2.13214,652.927
2.13367,652.727
2.13521,652.527
2.13674,652.328
2.13827,652.128
2.13981,651.928
2.14134,651.728
2.14287,651.528
2.14441,651.328
2.14595,651.128
2.14748,650.928
2.14902,650.728
2.15056,650.528
2.15209,650.328
2.15363,650.128
2.15517,649.928
2.15671,649.728
2.15825,649.529
2.15979,649.329
2.16133,649.129
2.16287,648.929
2.16441,648.729
2.16595,648.529
2.16749,648.329
2.16904,648.129
2.17058,647.929
2.17212,647.729
2.17367,647.529
2.17521,647.329
2.17676,647.129
2.1783,646.93
2.17985,646.73
2.18139,646.53
2.18294,646.33
2.18449,646.13
2.18604,645.93
2.18759,645.73
2.18913,645.53
2.19068,645.33
2.19223,645.13
2.19378,644.93
2.19534,644.73
2.19689,644.531
2.19844,644.331
2.19999,644.131
2.20154,643.931
2.2031,643.731
2.20465,643.531
2.2062,643.331
2.20776,643.131
2.20931,642.931
2.21087,642.731
2.21243,642.531
2.21398,642.331
2.21554,642.131
2.2171,641.932
2.21866,641.732
2.22021,641.532
2.22177,641.332
2.22333,641.132
2.22489,640.932
2.22645,640.732
2.22801,640.532
2.22958,640.332
2.23114,640.132
2.2327,639.932
2.23426,639.732
2.23583,639.532
2.23739,639.333
2.23895,639.133
2.24052,638.933
2.24208,638.733
2.24365,638.533
2.24522,638.333
2.24678,638.133
2.24835,637.933
2.24992,637.733
2.25149,637.533
2.25306,637.333
2.25463,637.133
2.2562,636.934
2.25777,636.734
2.25934,636.534
2.26091,636.334
2.26248,636.134
2.26405,635.934
2.26562,635.734
2.2672,635.534
2.26877,635.334
2.27035,635.134
2.27192,634.934
2.2735,634.734
2.27507,634.535
2.27665,634.335
2.27822,634.135
2.2798,633.935
2.28138,633.735
2.28296,633.535
2.28454,633.335
2.28612,633.135
2.2877,632.935
2.28928,632.735
2.29086,632.535
2.29244,632.335
2.29402,632.136
2.2956,631.936
2.29718,631.736
2.29877,631.536
2.30035,631.336
2.30194,631.136
2.30352,630.936
2.30511,630.736
2.30669,630.536
2.30828,630.336
2.30986,630.136
2.31145,629.936
2.31304,629.736
2.31463,629.537
2.31622,629.337
2.3178,629.137
2.31939,628.937
2.32099,628.737
2.32258,628.537
2.32417,628.337
2.32576,628.137
2.32735,627.937
2.32894,627.737
2.33054,627.537
2.33213,627.337
2.33373,627.137
2.33532,626.938
2.33692,626.738
2.33851,626.538
2.34011,626.338
2.3417,626.138
2.3433,625.938
2.3449,625.738
2.3465,625.538
2.3481,625.338
2.3497,625.138
2.3513,624.938
2.3529,624.738
2.3545,624.539
2.3561,624.339
2.3577,624.139
2.3593,623.939
2.36091,623.739
2.36251,623.539
2.36411,623.339
2.36572,623.139
2.36732,622.939
2.36893,622.739
2.37054,622.539
2.37214,622.339
2.37375,622.139
2.37536,621.94
2.37697,621.74
2.37857,621.54
2.38018,621.34
2.38179,621.14
2.3834,620.94
2.38501,620.74
2.38662,620.54
2.38824,620.34
2.38985,620.14
2.39146,619.94
2.39308,619.74
2.39469,619.54
2.3963,619.341
2.39792,619.141
2.39953,618.941
2.40115,618.741
2.40277,618.541
2.40438,618.341
2.406,618.141
2.40762,617.941
2.40924,617.741
2.41086,617.541
2.41248,617.341
2.4141,617.141
2.41572,616.941
2.41734,616.742
2.41896,616.542
2.42058,616.342
2.4222,616.142
2.42383,615.942
2.42545,615.742
2.42708,615.542
2.4287,615.342
2.43033,615.142
2.43195,614.942
2.43358,614.742
2.43521,614.542
2.43683,614.343
2.43846,614.143
2.44009,613.943
2.44172,613.743
2.44335,613.543
2.44498,613.343
2.44661,613.143
2.44824,612.943
2.44987,612.743
2.45151,612.543
2.45314,612.343
2.45477,612.143
2.45641,611.943
2.45804,611.744
2.45967,611.544
2.46131,611.344
2.46295,611.144
2.46458,610.944
2.46622,610.744
2.46786,610.544
2.4695,610.344
2.47113,610.144
2.47277,609.944
2.47441,609.744
2.47605,609.545
2.47769,609.345
2.47934,609.145
2.48098,608.945
2.48262,608.745
2.48426,608.545
2.48591,608.345
2.48755,608.145
2.4892,607.945
2.49084,607.745
2.49249,607.545
2.49413,607.345
2.49578,607.146
2.49743,606.946
2.49907,606.746
2.50072,606.546
2.50237,606.346
2.50402,606.146
2.50567,605.946
2.50732,605.746
2.50897,605.546
2.51063,605.346
2.51228,605.146
2.51393,604.946
2.51558,604.746
2.51724,604.546
2.51889,604.346
2.52055,604.146
2.5222,603.947
2.52386,603.747
2.52551,603.547
2.52717,603.347
2.52883,603.147
2.53049,602.947
2.53215,602.747
2.53381,602.547
2.53547,602.347
2.53713,602.147
2.53879,601.947
2.54045,601.747
2.54211,601.548
2.54377,601.348
2.54544,601.148
2.5471,600.948
2.54877,600.748
2.55043,600.548
2.5521,600.348
2.55376,600.148
2.55543,599.948
2.5571,599.748
2.55876,599.548
2.56043,599.348
2.5621,599.149
2.56377,598.949
2.56544,598.749
2.56711,598.549
2.56878,598.349
2.57045,598.149
2.57212,597.949
2.5738,597.749
2.57547,597.549
2.57714,597.349
2.57882,597.149
2.58049,596.949
2.58217,596.75
2.58385,596.55
2.58552,596.35
2.5872,596.15
2.58888,595.95
2.59055,595.75
2.59223,595.55
2.59391,595.35
2.59559,595.15
2.59727,594.95
2.59895,594.75
2.60064,594.55
2.60232,594.351
2.604,594.151
2.60568,593.951
2.60737,593.751
2.60905,593.551
2.61074,593.351
2.61242,593.151
2.61411,592.951
2.6158,592.751
2.61748,592.551
2.61917,592.351
2.62086,592.151
2.62255,591.952
2.62424,591.752
2.62593,591.552
2.62762,591.352
2.62931,591.152
2.631,590.952
2.6327,590.752
2.63439,590.552
2.63608,590.352
2.63778,590.152
2.63947,589.952
2.64117,589.752
2.64286,589.553
2.64456,589.353
2.64626,589.153
2.64795,588.953
2.64965,588.753
2.65135,588.553
2.65305,588.353
2.65475,588.153
2.65645,587.953
2.65815,587.753
2.65985,587.553
2.66156,587.354
2.66326,587.154
2.66496,586.954
2.66667,586.754
2.66837,586.554
2.67008,586.354
2.67178,586.154
2.67349,585.954
2.6752,585.754
2.6769,585.554
2.67861,585.354
2.68032,585.155
2.68203,584.955
2.68374,584.755
2.68545,584.555
2.68716,584.355
2.68887,584.155
2.69058,583.955
2.6923,583.755
2.69401,583.555
2.69572,583.355
2.69744,583.155
2.69915,582.956
2.70087,582.756
2.70259,582.556
2.7043,582.356
2.70602,582.156
2.70774,581.956
2.70946,581.756
2.71118,581.556
2.7129,581.356
2.71462,581.156
2.71634,580.956
2.71806,580.756
2.71978,580.557
2.7215,580.357
2.72323,580.157
2.72495,579.957
2.72668,579.757
2.7284,579.557
2.73013,579.357
2.73185,579.157
2.73358,578.957
2.73531,578.757
2.73704,578.557
2.73877,578.357
2.7405,578.158
2.74223,577.958
2.74396,577.758
2.74569,577.558
2.74742,577.358
2.74915,577.158
2.75088,576.958
2.75262,576.758
2.75435,576.558
2.75609,576.358
2.75782,576.158
2.75956,575.959
2.76129,575.759
2.76303,575.559
2.76477,575.359
2.76651,575.159
2.76825,574.959
2.76999,574.759
2.77173,574.559
2.77347,574.359
2.77521,574.159
2.77695,573.959
2.77869,573.759
2.78044,573.559
2.78218,573.359
2.78392,573.16
2.78567,572.96
2.78742,572.76
2.78916,572.56
2.79091,572.36
2.79266,572.16
2.7944,571.96
2.79615,571.76
2.7979,571.56
2.79965,571.36
2.8014,571.16
2.80315,570.961
2.80491,570.761
2.80666,570.561
2.80841,570.361
2.81016,570.161
2.81192,569.961
2.81367,569.761
2.81543,569.561
2.81719,569.361
2.81894,569.161
2.8207,568.961
2.82246,568.762
2.82422,568.562
2.82597,568.362
2.82773,568.162
2.82949,567.962
2.83126,567.762
2.83302,567.562
2.83478,567.362
2.83654,567.162
2.83831,566.962
2.84007,566.762
2.84184,566.562
2.8436,566.363
2.84537,566.163
2.84713,565.963
2.8489,565.763
2.85067,565.563
2.85244,565.363
2.85421,565.163
2.85598,564.963
2.85775,564.763
2.85952,564.563
2.86129,564.364
2.86306,564.164
2.86483,563.964
2.86661,563.764
2.86838,563.564
2.87016,563.364
2.87193,563.164
2.87371,562.964
2.87548,562.764
2.87726,562.564
2.87904,562.364
2.88082,562.164
2.8826,561.965
2.88438,561.765
2.88616,561.565
2.88794,561.365
2.88972,561.165
2.8915,560.965
2.89329,560.765
2.89507,560.565
2.89685,560.365
2.89864,560.165
2.90042,559.965
2.90221,559.765
2.904,559.566
2.90578,559.366
2.90757,559.166
2.90936,558.966
2.91115,558.766
2.91294,558.566
2.91473,558.366
2.91652,558.166
2.91831,557.966
2.92011,557.766
2.9219,557.567
2.92369,557.367
2.92549,557.167
2.92728,556.967
2.92908,556.767
2.93088,556.567
2.93267,556.367
2.93447,556.167
2.93627,555.967
2.93807,555.767
2.93987,555.567
2.94167,555.368
2.94347,555.168
2.94527,554.968
2.94707,554.768
2.94888,554.568
2.95068,554.368
2.95248,554.168
2.95429,553.968
2.95609,553.768
2.9579,553.568
2.95971,553.368
2.96151,553.169
2.96332,552.969
2.96513,552.769
2.96694,552.569
2.96875,552.369
2.97056,552.169
2.97237,551.969
2.97419,551.769
2.976,551.569
2.97781,551.369
2.97963,551.169
2.98144,550.97
2.98326,550.77
2.98507,550.57
2.98689,550.37
2.98871,550.17
2.99052,549.97
2.99234,549.77
2.99416,549.57
2.99598,549.37
2.9978,549.17
2.99962,548.97
3.00145,548.771
3.00327,548.571
3.00509,548.371
3.00692,548.171
3.00874,547.971
3.01057,547.771
3.01239,547.571
3.01422,547.371
3.01604,547.171
3.01787,546.971
3.0197,546.771
3.02153,546.571
3.02336,546.371
3.02519,546.172
3.02702,545.972
3.02885,545.772
3.03069,545.572
3.03252,545.372
3.03435,545.172
3.03619,544.972
3.03802,544.772
3.03986,544.572
3.0417,544.372
3.04353,544.173
3.04537,543.973
3.04721,543.773
3.04905,543.573
3.05089,543.373
3.05273,543.173
3.05457,542.973
3.05641,542.773
3.05826,542.573
3.0601,542.373
3.06195,542.173
3.06379,541.974
3.06564,541.774
3.06748,541.574
3.06933,541.374
3.07118,541.174
3.07302,540.974
3.07487,540.774
3.07672,540.574
3.07857,540.374
3.08042,540.174
3.08228,539.974
3.08413,539.775
3.08598,539.575
3.08783,539.375
3.08969,539.175
3.09154,538.975
3.0934,538.775
3.09526,538.575
3.09711,538.375
3.09897,538.175
3.10083,537.975
3.10269,537.776
3.10455,537.576
3.10641,537.376
3.10827,537.176
3.11013,536.976
3.112,536.776
3.11386,536.576
3.11572,536.376
3.11759,536.176
3.11945,535.976
3.12132,535.776
3.12319,535.577
3.12505,535.377
3.12692,535.177
3.12879,534.977
3.13066,534.777
3.13253,534.577
3.1344,534.377
3.13627,534.177
3.13815,533.977
3.14002,533.777
3.14129,533.577
