# 20240820
# TI IWR6843AOPEVM
# Copper corner reflector
# Cory roof
# Range: 3 m

Azimuth,Elevation,TX1RX1,TX1RX2,TX1RX3,TX1RX4,TX2RX1,TX2RX2,TX2RX3,TX2RX4,TX3RX1,TX3RX2,TX3RX3,TX3RX4
-12.635624,5.379379,(26946+464791j),(61963+427869j),(-262494+314406j),(-173931+403031j),(285343+250753j),(345255+162681j),(7437+360686j),(201296+287399j),(-176112+374525j),(-55559+293050j),(-356696+146458j),(-220113+212204j)
-10.806922,3.583322,(289024+374055j),(274655+319923j),(-28347+413650j),(78911+432261j),(375272+48532j),(386310-37209j),(208436+285194j),(337808+140656j),(64797+400273j),(129661+270099j),(-208917+324383j),(-50732+298613j)
-10.806922,3.583322,(402643+256401j),(355827+203948j),(126424+400898j),(220195+379143j),(371365-80931j),(359295-149881j),(294456+192655j),(373093+26415j),(193720+344607j),(224514+208412j),(-81464+375469j),(63445+296838j)
-10.806922,3.583322,(447417-175974j),(347647-165821j),(413079+120382j),(426596+43299j),(155621-354004j),(110235-368297j),(327361-138543j),(263267-279869j),(379452+38351j),(305282-77056j),(257057+283347j),(285453+100638j)
-10.806922,3.583322,(130081-463826j),(49377-360095j),(344120-278112j),(281428-309733j),(-190127-350570j),(-212014-312352j),(78570-358725j),(-42892-389598j),(245330-280124j),(113140-309634j),(377369-44215j),(242135-190455j)
-10.806922,3.583322,(-108347-465071j),(-146006-321543j),(160314-419425j),(90925-397336j),(-336266-225306j),(-326382-176344j),(-109998-357550j),(-215765-334370j),(71899-363220j),(-59213-332155j),(303377-229545j),(109119-292908j)
-10.806922,3.583322,(-286181-373056j),(-274900-212090j),(-38154-451081j),(-86310-385335j),(-404537-78286j),(-360217-32473j),(-253309-283321j),(-330121-228801j),(-97377-355354j),(-197959-283705j),(166469-338704j),(-36774-320989j)
-8.989298,3.583322,(-455289-11371j),(-329080+109974j),(-376413-249313j),(-341489-146586j),(-333955+256627j),(-241205+246229j),(-391956+19305j),(-381277+88809j),(-340450-128494j),(-356878-28509j),(-166647-325020j),(-305480-172240j)
-8.989298,3.583322,(-299905+325704j),(-118611+333569j),(-427405+118103j),(-313183+181281j),(-54909+423640j),(25321+333885j),(-257786+311714j),(-194970+326892j),(-317382+185335j),(-263355+252414j),(-350056-67697j),(-354977+131496j)
-8.989298,3.583322,(61024+424649j),(198038+306499j),(-173233+391370j),(-25776+362264j),(271248+329739j),(274330+188097j),(66648+405326j),(111315+347989j),(-46307+371311j),(23665+365473j),(-253400+240150j),(-134049+376823j)
-7.180755,3.583322,(373777+187239j),(377858+14878j),(211984+350969j),(306842+219434j),(422343-1272j),(318509-117003j),(362655+201393j),(329676+109066j),(288659+253624j),(307959+195222j),(71082+342075j),(225558+343015j)
-7.180755,3.583322,(402474-90421j),(316792-222183j),(372181+133342j),(394071-30063j),(340119-241771j),(190421-296575j),(413622-47448j),(313668-114605j),(395152+17381j),(358977-33802j),(280296+212380j),(387560+140545j)
-7.180755,3.583322,(232178-340841j),(101596-381098j),(350571-152764j),(287088-298977j),(108458-395104j),(-41551-364231j),(288957-289297j),(145871-291819j),(318623-255509j),(240254-257621j),(356214-43005j),(379774-138542j)
-7.180755,3.583322,(-8216-415875j),(-125954-374945j),(188957-325774j),(75719-415848j),(-118968-384975j),(-236264-293262j),(88221-389708j),(-51697-323241j),(127948-395376j),(45925-341485j),(269542-250093j),(234229-314313j)
-7.180755,3.583322,(-267397-324076j),(-324724-222260j),(-64253-367950j),(-188764-381774j),(-316300-237895j),(-373275-102954j),(-153386-357663j),(-248991-224980j),(-133825-395245j),(-179230-291481j),(57034-373378j),(-4253-376896j)
-7.180755,3.583322,(-421099+50468j),(-356475+146526j),(-349520-128604j),(-415791-64062j),(-366496+121779j),(-303580+250981j),(-368756-70080j),(-340541+89088j),(-396552-112309j),(-344629+2429j),(-287949-257704j),(-302206-188368j)
-7.180755,3.583322,(-168182+394668j),(-37336+373164j),(-278534+260677j),(-257545+311035j),(-81239+373430j),(52383+399973j),(-237592+278371j),(-107739+357704j),(-292016+278067j),(-162656+324176j),(-378015+123636j),(-286687+174318j)
-5.379379,3.583322,(55115+423460j),(165560+330696j),(-95443+372382j),(-58240+383691j),(114690+364135j),(238961+327657j),(-58315+357788j),(76406+371554j),(-108393+380885j),(32942+376235j),(-263812+300508j),(-138501+298110j)
-5.379379,3.583322,(334226+256168j),(351676+98736j),(208689+328503j),(222430+287403j),(336942+176508j),(404226+74130j),(217373+285853j),(313300+223578j),(194731+339120j),(301892+246935j),(30326+398874j),(130399+298174j)
-5.379379,3.583322,(414508+25216j),(341171-135225j),(363901+151388j),(330310+93662j),(378223-44849j),(385535-160711j),(342866+104412j),(391224+18673j),(353616+162631j),(400437+34083j),(250615+308560j),(288661+155918j)
-5.379379,3.583322,(344878-213321j),(191679-320340j),(383580-87548j),(302311-125657j),(284583-252399j),(232688-357946j),(339761-116021j),(336172-204499j),(382381-81782j),(358607-200953j),(379183+101730j),(337198-57046j)
-5.379379,5.379379,(308127-256499j),(144116-348789j),(363639-142449j),(272249-172553j),(254359-286080j),(190130-380520j),(322784-161994j),(306957-242956j),(368458-138787j),(340441-246791j),(386379+43657j),(333560-113992j)
-5.379379,5.379379,(22652-384934j),(-158705-352812j),(143936-350024j),(32705-312217j),(-31482-383552j),(-123386-415604j),(100503-346436j),(52224-385160j),(147121-370313j),(70887-416724j),(284837-250246j),(146691-342279j)
-3.583322,3.583322,(-335279-168037j),(-396920-14012j),(-250374-262931j),(-289786-136911j),(-371290-140979j),(-422725-106574j),(-275360-238177j),(-314808-221457j),(-285247-299323j),(-338775-248552j),(-121975-350981j),(-262444-297013j)
-3.583322,3.583322,(-367532+62846j),(-339128+207158j),(-344010-57176j),(-322147+72484j),(-399054+92742j),(-410370+118650j),(-360127-33319j),(-383575-14330j),(-414502-83120j),(-414946-16735j),(-308767-199046j),(-395994-100844j)
-3.583322,3.583322,(-303273+222024j),(-222290+328022j),(-323304+107566j),(-257209+222569j),(-336155+249858j),(-329774+260298j),(-341566+129442j),(-352340+142022j),(-414649+102998j),(-381543+164412j),(-365735-29267j),(-405284+82270j)
-3.583322,5.379379,(-244718+285081j),(-150415+367155j),(-281160+182706j),(-195743+284444j),(-288044+312812j),(-274939+303713j),(-303284+201172j),(-313955+208112j),(-384911+190435j),(-334298+239494j),(-360658+66514j),(-376183+168252j)
-1.790785,3.583322,(155714+348958j),(251448+287707j),(66718+322588j),(180470+314363j),(135367+418805j),(115411+354925j),(51162+371527j),(28556+356641j),(2852+429064j),(65357+401206j),(-79892+359994j),(-22933+400251j)
-1.790785,3.583322,(-391422-173863j),(-406466-120375j),(-314434-201377j),(-373556-173153j),(-325752-269771j),(-305104-173317j),(-250248-271960j),(-250283-225161j),(-208360-338583j),(-292279-221102j),(-145465-330500j),(-219905-290445j)
-1.790785,3.583322,(378868+39015j),(374317-84209j),(331279+78072j),(368306+5184j),(426249+136695j),(334164+82648j),(362387+162900j),(281503+157961j),(369038+213665j),(365385+151820j),(286552+236713j),(309572+213731j)
-1.790785,5.379379,(-220738+372221j),(-123483+390460j),(-224313+328772j),(-217547+346496j),(-332654+274646j),(-172027+278800j),(-320518+220061j),(-222384+210416j),(-355284+176314j),(-250614+279690j),(-346992+123564j),(-280930+189112j)
-1.790785,5.379379,(-62748+427145j),(44503+408715j),(-78699+396922j),(-66609+394883j),(-213368+377411j),(-48371+319102j),(-218781+324869j),(-114725+274411j),(-262402+301254j),(-124116+351297j),(-269035+252066j),(-179259+278639j)
-1.790785,5.379379,(185160+388825j),(269458+319064j),(160074+377288j),(160154+358953j),(14064+435822j),(136305+293317j),(-13912+391699j),(67145+284447j),(-51854+395558j),(86042+361942j),(-78649+358157j),(16186+330214j)
-1.790785,5.379379,(265804-339065j),(167461-392214j),(251296-331602j),(206495-307584j),(400500-134099j),(197983-268583j),(354176-131745j),(222403-231293j),(383302-108066j),(268364-245123j),(357487-103143j),(265779-194546j)
-1.790785,5.379379,(-43433-430431j),(-152383-390946j),(-64659-414492j),(-82087-357299j),(211297-352503j),(-49368-341061j),(165763-333761j),(-150-336709j),(202661-338602j),(16047-368723j),(179335-323354j),(39338-332497j)
0.000000,5.379379,(-323010-288195j),(-372571-174458j),(-340534-252505j),(-309223-189320j),(-61842-391341j),(-280313-228393j),(-100140-352360j),(-234477-260387j),(-77576-385050j),(-246126-280185j),(-95031-353182j),(-214232-271296j)
0.000000,5.379379,(-432677+15498j),(-383202+138305j),(-422979+64317j),(-347567+95808j),(-296993-237087j),(-386101+18751j),(-309159-181622j),(-361762-30159j),(-321830-224830j),(-377221-26558j),(-317202-174487j),(-355763-39816j)
0.000000,5.379379,(-323612+287700j),(-198466+353292j),(-280393+324367j),(-192174+305889j),(-370887+3972j),(-310170+255942j),(-344865+56381j),(-310432+209775j),(-390798+30211j),(-309765+226971j),(-348852+81296j),(-305523+208297j)
0.000000,5.379379,(-240797+359162j),(-96574+392995j),(-179532+387518j),(-96480+351163j),(-356162+92691j),(-250414+318215j),(-315255+140906j),(-251719+283769j),(-367498+126808j),(-239915+300768j),(-309809+176493j),(-238427+286479j)
0.000000,5.379379,(208624+377103j),(316370+253008j),(268012+325526j),(290389+232136j),(-76145+353125j),(146366+391487j),(-7360+333993j),(130913+371476j),(-54865+377664j),(173482+354985j),(32811+350699j),(155141+353750j)
1.790785,5.379379,(428896+5974j),(376376-166324j),(409596-88801j),(349799-163412j),(269653+242251j),(405579+98055j),(291033+155204j),(396519+90908j),(293607+223581j),(410534+20433j),(328811+126371j),(391575+36373j)
1.790785,5.379379,(274343-326220j),(101475-409186j),(175649-381380j),(85195-389504j),(364788-52270j),(344046-225758j),(305710-140568j),(338300-234720j),(348127-91023j),(286543-312707j),(295957-187232j),(277063-286703j)
1.790785,5.379379,(167255-391228j),(-24434-424589j),(45791-420047j),(-39400-401911j),(340744-145651j),(271798-299644j),(252463-226838j),(267267-316708j),(300522-186927j),(187205-382367j),(220058-269760j),(174444-355578j)
1.790785,5.379379,(-158573-391411j),(-325279-279303j),(-276193-319102j),(-323437-253697j),(147626-344182j),(-2486-392469j),(14578-348875j),(-16802-406832j),(69153-341909j),(-126287-410060j),(-47807-338958j),(-133584-373198j)
3.583322,5.379379,(-420200-23061j),(-400310+185807j),(-404486+130706j),(-374319+193671j),(-241425-300566j),(-336446-174233j),(-321363-170132j),(-354693-173138j),(-291086-206980j),(-417875-83634j),(-331464-83415j),(-401281-44030j)
3.583322,5.379379,(-378548+182080j),(-268413+364152j),(-285202+317459j),(-231979+358656j),(-353188-167900j),(-369741+3602j),(-373664-526j),(-384878+6058j),(-360785-43769j),(-403131+109676j),(-329308+99427j),(-379362+156849j)
3.583322,5.379379,(-222261+353656j),(-40784+459934j),(-59602+420302j),(868+433201j),(-393848+23647j),(-309835+189463j),(-326215+195563j),(-318534+194715j),(-335296+154391j),(-285485+289600j),(-218923+271754j),(-243632+333517j)
3.583322,5.379379,(266047+321604j),(424061+207899j),(382322+169685j),(424525+136712j),(-130966+373632j),(66878+357904j),(65857+379810j),(80352+345692j),(33722+376523j),(162489+357285j),(206614+298397j),(221783+343104j)
3.583322,5.379379,(422735+26521j),(453166-143495j),(378755-178969j),(400479-220428j),(158692+363611j),(303086+211037j),(315217+225613j),(305119+173110j),(301317+245293j),(360022+131963j),(373121+51035j),(392836+78133j)
5.379379,5.379379,(239864-354721j),(128029-446554j),(20837-421458j),(23710-462479j),(381812+70519j),(349403-145179j),(355885-140127j),(302298-180102j),(377402-130338j),(287030-230400j),(239221-303913j),(254825-281696j)
5.379379,5.379379,(-237048-369405j),(-341237-294207j),(-395475-171880j),(-409573-210140j),(223919-307960j),(23244-392510j),(20690-374958j),(-48956-352308j),(35206-407166j),(-101076-345481j),(-190702-344681j),(-159738-322164j)
