# 20240820
# TI IWR6843AOPEVM
# Copper corner reflector
# Cory roof
# Range: 3 m

Azimuth,Elevation,TX1RX1,TX1RX2,TX1RX3,TX1RX4,TX2RX1,TX2RX2,TX2RX3,TX2RX4,TX3RX1,TX3RX2,TX3RX3,TX3RX4
7.180755,-1.790785,(311801-225201j),(301864-264045j),(136480-403299j),(233044-265845j),(349926-74780j),(395516-28174j),(278792-278690j),(328730-81230j),(255979-233310j),(292997-241316j),(89774-363860j),(207416-258035j)
7.180755,-1.790785,(305658-232402j),(292279-271589j),(125163-406104j),(223936-270347j),(347245-84511j),(393665-37172j),(269608-285544j),(324641-89268j),(248737-239813j),(284965-248062j),(80903-365468j),(199162-262959j)
5.379379,-1.790785,(374779-102131j),(370081-142600j),(270083-332154j),(309487-166168j),(349957+51745j),(385646+107421j),(355511-163367j),(341578+37416j),(320898-125953j),(357165-131095j),(212882-307299j),(282325-171291j)
5.379379,-1.790785,(376202-92773j),(372018-133175j),(277365-324473j),(313810-160349j),(347458+58827j),(382708+113680j),(357140-155903j),(339581+42613j),(323394-118564j),(360101-123492j),(218962-301535j),(285429-166365j)
7.180755,-1.790785,(371473-111682j),(367347-153092j),(260819-338611j),(304201-176100j),(351237+43484j),(388219+98443j),(351120-172228j),(340835+28786j),(317164-133574j),(354350-139900j),(204113-312134j),(277970-179702j)
5.379379,-1.790785,(387290-46448j),(386935-86029j),(316021-289685j),(332127-120183j),(336437+102983j),(369169+159142j),(373326-110479j),(335239+85379j),(335918-75967j),(373172-79155j),(255283-272868j),(305586-131030j)
5.379379,-1.790785,(387316-41030j),(387717-83275j),(319602-286100j),(331817-115657j),(335180+106304j),(367429+164140j),(374664-106235j),(333289+90808j),(337898-72259j),(373468-75330j),(258478-269105j),(306548-127518j)
5.379379,-1.790785,(390465+1653j),(393730-41324j),(349390-249685j),(344376-77744j),(319516+142248j),(348610+201998j),(382486-63606j),(322857+124768j),(341707-33418j),(380086-35943j),(286256-237871j),(318390-93616j)
5.379379,-1.790785,(388703+23504j),(395281-17617j),(363243-229256j),(346615-59150j),(310863+159962j),(337724+219256j),(385744-43012j),(316146+142794j),(344111-14451j),(380331-13374j),(298970-221508j),(323981-76985j)
5.379379,-1.790785,(388766+33536j),(395376-8472j),(369045-219568j),(348435-49692j),(305900+167945j),(332372+226694j),(386590-32407j),(312567+151008j),(344397-5775j),(380736-5597j),(304979-214675j),(325139-68682j)
5.379379,-1.790785,(389531+23276j),(394241-17193j),(363538-230215j),(346657-60427j),(311336+159360j),(337478+220042j),(386271-44262j),(316049+143257j),(345161-15373j),(380428-14666j),(299811-223219j),(323201-76594j)
5.379379,-1.790785,(389862+31034j),(394630-10182j),(368219-223368j),(347904-51913j),(307515+165833j),(335376+225379j),(386353-37017j),(313869+149323j),(344880-8526j),(380644-8897j),(303624-217067j),(325171-69575j)
5.379379,-1.790785,(390285+7608j),(393519-33480j),(353258-244476j),(345270-73466j),(318052+146149j),(347220+206350j),(384022-59731j),(322903+130842j),(344271-29624j),(378628-30001j),(290220-235776j),(319709-88599j)
5.379379,-1.790785,(390506+1071j),(392541-39923j),(349749-250436j),(343107-78082j),(319756+141162j),(349950+201241j),(383257-65518j),(323861+124810j),(343150-35605j),(379262-35562j),(287250-240007j),(318400-92391j)
5.379379,-1.790785,(389262+37324j),(394635-3178j),(372150-216544j),(349941-46336j),(303780+169880j),(332192+230866j),(385439-30539j),(312820+153130j),(344093-2995j),(381855-2609j),(306801-211640j),(326688-65300j)
5.379379,-1.790785,(384788-58321j),(384568-100063j),(306936-298954j),(327537-131059j),(339928+90784j),(374578+146670j),(369976-123601j),(337432+73339j),(334049-88569j),(370862-91251j),(245749-281648j),(301349-140833j)
5.379379,-1.790785,(383425-66077j),(381244-106883j),(301440-305982j),(324773-136881j),(342620+85563j),(376774+140051j),(368043-129545j),(338091+67612j),(331716-94431j),(368500-97618j),(240835-285782j),(298602-145784j)
5.379379,-1.790785,(386084-50677j),(384947-91966j),(313178-293796j),(329358-124699j),(338435+96744j),(371763+153822j),(372442-115339j),(335834+80189j),(336252-81460j),(371272-84601j),(252117-276615j),(302825-134178j)
5.379379,-1.790785,(387854-40280j),(386872-81150j),(321122-285860j),(331822-115159j),(334349+106594j),(368795+161953j),(373734-106099j),(333829+89551j),(338139-72787j),(373111-74931j),(258806-269108j),(306911-126605j)
5.379379,-1.790785,(389273+38549j),(394369-1917j),(372061-216391j),(349134-45691j),(303307+170204j),(332183+231614j),(386484-28778j),(311819+154059j),(344557-2449j),(380762-726j),(307986-211510j),(325243-63679j)
5.379379,-1.790785,(388116+55287j),(393449+14589j),(380388-200713j),(352790-30286j),(295384+181679j),(323364+244998j),(385244-14174j),(307799+165605j),(344298+12331j),(382261+14227j),(314904-197755j),(328609-51907j)
5.379379,-1.790785,(389329+53853j),(392524+10928j),(381202-203043j),(349551-32023j),(298268+181345j),(324043+243392j),(387598-16905j),(307863+167193j),(345082+10689j),(378774+11986j),(316026-200398j),(328812-51406j)
5.379379,-1.790785,(390399+6413j),(392288-35452j),(353063-246628j),(343932-73974j),(319534+144661j),(346170+204560j),(383610-63243j),(323854+129931j),(344233-30997j),(378875-32167j),(288703-237502j),(320432-89049j)
5.379379,-1.790785,(389488-24841j),(390183-66413j),(331608-273858j),(337443-101028j),(329893+119132j),(362253+177316j),(377533-92384j),(332619+101212j),(339247-58711j),(377032-62566j),(268507-257981j),(310815-117302j)
5.379379,-1.790785,(386394-44125j),(386237-87709j),(317060-288746j),(332740-118612j),(335594+102206j),(370763+157266j),(373665-110745j),(333889+86385j),(336016-76546j),(372052-79521j),(255573-272709j),(306140-128943j)
5.379379,-1.790785,(386586-51053j),(382799-92854j),(312294-294197j),(329129-123459j),(338226+96540j),(371151+152391j),(371429-117225j),(335332+79416j),(334787-82517j),(371580-86464j),(250935-277129j),(303282-134819j)
7.180755,-1.790785,(165324-316403j),(151032-358963j),(-50899-393814j),(84214-328535j),(272281-202944j),(328275-186110j),(130376-355323j),(253514-195078j),(127241-312347j),(158570-314296j),(-71815-351945j),(83524-309924j)
7.180755,-1.790785,(148975-347911j),(127659-386796j),(-87951-411576j),(60832-351118j),(267379-240660j),(326534-222639j),(103394-383847j),(241531-231024j),(104595-336808j),(137032-347993j),(-105915-362919j),(53724-328934j)
5.379379,-1.790785,(38823-365709j),(18653-415754j),(-195148-363517j),(-40108-360694j),(189725-300382j),(245288-306028j),(-6841-399765j),(177812-285457j),(12091-360807j),(45045-352925j),(-200063-326321j),(-22652-333358j)
5.379379,-1.790785,(311344-183277j),(342291-241022j),(174554-369340j),(267847-248199j),(344804-22141j),(389741-10105j),(303286-243454j),(354160-37691j),(294401-209707j),(312608-168923j),(143094-351924j),(256561-225334j)
